feature,gain
prc_total,33.273780822753906
macro_confluence_score,26.32231903076172
atr_band_position,7.498147487640381
starc_position,6.767103672027588
rvi_osc,5.620080947875977
market_phase,5.103890895843506
sar_trend,5.055997371673584
ema_slope_21,4.158156394958496
volatility_regime,4.14862585067749
bb_pct_b,4.09381103515625
prc_trend,3.95491623878479
atr_percentile,3.859816551208496
regime_high_vol,3.8018484115600586
ema_9_21_cross,3.7780914306640625
bands_confluence,3.7381045818328857
sqz_momentum,3.5861198902130127
supertrend_dir,3.390876293182373
aroon_down,3.377730131149292
tsi,3.3715105056762695
volatility_ratio,3.3576741218566895
rolling_buy_ratio,3.324143409729004
returns_4h,3.2999181747436523
prc_bands,3.2859930992126465
btc_dist_ema200,3.2716612815856934
ema_slope_9,3.2634925842285156
ret_12h,3.2567543983459473
rsi_slope_14,3.2370107173919678
prc_volume,3.2164223194122314
dist_ema_21,3.1788675785064697
dist_ema_9,3.1706433296203613
kvo,3.1483232975006104
btc_ratio_ma_dist,3.1407651901245117
bb_width_percentile,3.1378376483917236
elder_bull_bear,3.1355512142181396
swing_strength_20,3.1007628440856934
force_index,3.0317118167877197
ichi_above_cloud,3.027498722076416
total_confluence,2.995685338973999
ema_alignment,2.9847702980041504
volume_delta_14,2.9467504024505615
schaff_tc,2.906841278076172
prc_momentum,2.9013991355895996
mfi_14,2.8751204013824463
cmo_14,2.873420000076294
aroon_up,2.8366804122924805
rsi_14,2.833073377609253
close_decay_mean_24,2.832476854324341
returns_1h_decay_mean_24,2.8309760093688965
quantile_position,2.8086204528808594
rsi_21,2.7769150733947754
