feature,gain
efficiency_ratio_10,60.03633117675781
macro_confluence_score,36.88800048828125
prc_total,35.545867919921875
regime_high_vol,17.896404266357422
atr_band_position,12.736380577087402
volatility_regime,11.474976539611816
starc_position,11.453770637512207
trend_confluence,10.91163158416748
rvi_osc,10.498218536376953
range_position_score,10.101890563964844
close_decay_mean_24,9.762480735778809
vwap_delta_4,8.974075317382812
vwap_delta_12,8.958633422851562
prc_momentum,8.673720359802246
sar_dist,8.52466106414795
vwap_slope_24,8.517603874206543
dist_rolling_vwap,8.49538516998291
ichi_dist_kijun,8.478124618530273
prc_trend,8.422654151916504
donchian_position,8.328255653381348
schaff_tc,8.265945434570312
returns_1h_decay_mean_24,8.252366065979004
ppo_signal,8.177871704101562
fib_dist_500,8.164971351623535
vwap_delta_1,8.00338077545166
ema_slope_21,7.895470142364502
dist_vwap,7.863463401794434
fib_dist_236,7.773957252502441
atr_pct,7.70326566696167
pct_dist_to_resistance,7.6667094230651855
bb_pct_b,7.650994777679443
dist_avwap_100,7.642034530639648
cci_20,7.641324520111084
roc_14,7.615192890167236
log_returns,7.585996627807617
fib_dist_618,7.578286647796631
sqz_momentum,7.4811224937438965
tsi,7.387033939361572
trix_15,7.311360836029053
swing_strength_20,7.309996604919434
btc_ratio_ma_dist,7.227715492248535
dist_avwap_50,7.187600135803223
ppo,7.168172359466553
ret_24h,7.134644985198975
price_zscore_200,7.102818965911865
volatility_ratio,7.102451801300049
parkinson_vol,7.089602947235107
kvo,7.059752941131592
ichi_dist_tenkan,7.054254531860352
keltner_width,7.045463562011719
