feature,gain
macro_confluence_score,53.26984405517578
prc_total,53.2163200378418
starc_position,21.122671127319336
atr_band_position,20.402355194091797
prc_momentum,13.977457046508789
rvi_osc,9.978401184082031
regime_high_vol,9.635368347167969
volatility_regime,9.156952857971191
rsi_14,8.816372871398926
bb_pct_b,8.760220527648926
prc_trend,8.547652244567871
cmo_14,8.349316596984863
volatility_ratio,7.923295974731445
ret_12h,7.50579309463501
momentum_confluence,7.434910297393799
atr_expansion,6.6387619972229
bos_up,6.5946736335754395
rsi_7,6.563450336456299
elder_bull,6.446486473083496
donchian_position,6.425353050231934
range_position_score,6.3385233879089355
elder_bull_bear,6.276930809020996
dist_vwap,6.2213215827941895
parkinson_vol,6.193256855010986
schaff_tc,6.162177085876465
dist_ema_21,6.048956394195557
ema_slope_9,5.933776378631592
supertrend_dir,5.920407772064209
dist_ema_9,5.897455215454102
ema_slope_21,5.895462512969971
bands_confluence,5.850416660308838
dist_s2,5.819740295410156
force_index,5.733157157897949
sar_trend,5.716947555541992
keltner_width,5.702047824859619
kvo,5.670149326324463
regime_low_vol,5.642855167388916
ema_stack_distance,5.639348983764648
williams_r,5.612010478973389
trend_confluence,5.5818190574646
dist_rolling_vwap,5.5219340324401855
kvo_signal,5.516080379486084
rvi_sig,5.504974842071533
bos_state,5.422375202178955
rsi_slope_14,5.396951675415039
cci_20,5.372298240661621
supertrend_dist,5.359732627868652
gaussian_position,5.354189395904541
market_regime_code,5.323357582092285
ema_slope_100,5.300538539886475
