feature,gain
prc_total,44.5406379699707
macro_confluence_score,30.828617095947266
starc_position,14.8954439163208
atr_band_position,13.189809799194336
bb_pct_b,12.348775863647461
regime_high_vol,8.121007919311523
rsi_14,7.595736026763916
historical_volatility,7.327068328857422
volatility_regime,6.836735248565674
rvi_osc,6.5328545570373535
market_regime_code,6.280900478363037
ichi_above_cloud,6.080937385559082
prc_trend,5.322818756103516
cmo_14,4.951954364776611
atr_pct,4.656989097595215
cci_20,4.642126083374023
dist_rolling_vwap,4.571505546569824
dist_vwap,4.536095142364502
keltner_width,4.442447662353516
rolling_volatility,4.3880615234375
range_position_score,4.382723808288574
sar_trend,4.183530330657959
atr_percentile,4.175270080566406
prc_momentum,4.170269966125488
roc_14,4.1236114501953125
ema_slope_100,4.078654766082764
swing_strength_20,4.004279613494873
vwap_delta_1,3.9444403648376465
dist_ema_100,3.874478578567505
dist_r2,3.8260185718536377
supertrend_dist,3.8007073402404785
realized_volatility,3.772719144821167
ema_stack_distance,3.751070261001587
market_phase,3.745286703109741
atr_expansion,3.6894805431365967
btc_dist_ema200,3.6880252361297607
ichi_dist_cloud_top,3.678744077682495
elder_bull,3.655784845352173
obv_slope_20,3.6306676864624023
ret_24h,3.6071784496307373
dist_ema_50,3.587608814239502
aroon_osc,3.5747854709625244
ema_slope_21,3.5537874698638916
se_position,3.5502519607543945
donchian_position,3.5420522689819336
mfi_14,3.5308430194854736
fib_dist_618,3.52254056930542
bands_confluence,3.501720905303955
dist_s1,3.4780168533325195
pct_dist_to_support,3.474689483642578
