feature,gain
macro_confluence_score,65.37432098388672
prc_total,53.086124420166016
efficiency_ratio_10,15.518965721130371
prc_momentum,7.560192108154297
prc_trend,6.946944236755371
rolling_buy_ratio,5.0275139808654785
hour_cos,4.919962406158447
cmf_20,4.659018516540527
entropy,4.512669563293457
adx_14,4.37097692489624
fib_range_pct,4.338879108428955
aroon_osc,4.284449577331543
funding_slope_8,4.268733978271484
schaff_tc,4.166433811187744
higher_high_count_20,4.162403106689453
ema_stack_distance,4.093161106109619
atr_band_position,4.042187213897705
dist_ema_100,4.038902282714844
mfi_14,3.9939727783203125
aroon_up,3.962217092514038
hurst,3.961282968521118
stoch_slope,3.9467430114746094
sqz_momentum,3.9405088424682617
dist_avwap_50,3.884392499923706
volatility_skew,3.8786439895629883
sar_dist,3.8635542392730713
dist_pivot,3.8452565670013428
dist_s2,3.8016653060913086
atr_expansion,3.7483761310577393
price_zscore_200,3.7480382919311523
vol_confirm_ratio,3.7262449264526367
candle_pressure,3.723707675933838
dist_ema_200,3.7197861671447754
dist_kama,3.716120958328247
dist_bull_ob,3.704129219055176
pvt,3.6882433891296387
funding_cum_8,3.659940481185913
elder_bear,3.6293063163757324
obv,3.6235978603363037
rsi_acceleration_14,3.6087405681610107
dow_cos,3.6061201095581055
supertrend_dist,3.5930569171905518
parkinson_vol,3.5736584663391113
volatility_ratio,3.553887367248535
btc_dist_ema200,3.5416507720947266
volume_delta_12,3.537773609161377
atr_pct,3.4644973278045654
volatility_regime,3.3864617347717285
starc_position,3.3756630420684814
swing_strength_20,3.3668229579925537
