feature,gain
prc_total,85.9347915649414
macro_confluence_score,60.176761627197266
efficiency_ratio_10,16.234848022460938
close_position,7.933536529541016
donchian_position,7.584169387817383
rsi_slope_14,7.1138176918029785
btc_dist_ema200,7.029218673706055
range_position_score,7.0185136795043945
hurst,6.863223552703857
elder_bull_bear,6.549188137054443
pct_dist_to_support,6.420663356781006
entropy,6.381036758422852
sqz_momentum,6.262748718261719
dist_bear_ob,6.257996559143066
rel_perf_24h,6.21085262298584
ichi_dist_kijun,6.152200222015381
sqz_on,6.119961261749268
btc_corr_24h,6.047492980957031
macd,6.006059169769287
pvt,5.961745262145996
vol_confirm_ratio,5.954498767852783
dist_s1,5.938687324523926
dist_s2,5.90946626663208
funding_cum_8,5.892096996307373
dist_ema_200,5.8833112716674805
trend_consistency_20,5.839478492736816
schaff_tc,5.817615985870361
quantile_position,5.8045806884765625
prc_trend,5.79298734664917
price_zscore_200,5.775345325469971
obv,5.766513347625732
candle_pressure,5.729513645172119
rolling_volatility,5.7205891609191895
upper_wick_pct,5.684858322143555
macd_signal,5.596019744873047
dist_r2,5.555683612823486
keltner_width,5.492212295532227
sar_dist,5.479310989379883
ema_stack_distance,5.403268814086914
parkinson_vol,5.40081262588501
ichi_dist_tenkan,5.389051914215088
lower_wick_pct,5.377432346343994
stoch_d,5.37039852142334
dist_bull_ob,5.354404926300049
rvi_sig,5.343335151672363
adx_14,5.334977149963379
ppo_signal,5.325554370880127
funding_neutral,5.317137718200684
rvi_osc,5.315075397491455
lower_low_count_20,5.3061370849609375
