feature,gain
macro_confluence_score,86.31697845458984
prc_total,68.83256530761719
efficiency_ratio_10,25.03925895690918
ema_alignment,11.191750526428223
market_phase,10.12456226348877
rsi_slope_14,7.549016952514648
rsi_7,7.499305248260498
williams_r,7.349619388580322
prc_momentum,7.03330135345459
prc_smart_money,7.004720687866211
btc_dist_ema200,6.496336460113525
dist_ema_200,6.447187423706055
quantile_position,6.364980220794678
keltner_width,6.341254711151123
ichi_dist_cloud_top,6.306490898132324
pvt,6.255845069885254
cmf_20,6.2453436851501465
ema_stack_distance,6.18306303024292
rsi_acceleration_14,6.136930465698242
obv,6.024563789367676
starc_position,6.019039154052734
btc_corr_24h,5.99368953704834
parkinson_vol,5.98208475112915
funding_cum_8,5.95258903503418
stoch_k,5.950697422027588
btc_ratio_ma_dist,5.912489414215088
funding_rate_zscore,5.907571792602539
fib_dist_618,5.9026947021484375
dist_bear_ob,5.891580104827881
ret_24h,5.879288196563721
volatility_regime,5.816591739654541
hurst,5.785245895385742
fib_range_pct,5.749192714691162
dist_bull_ob,5.7428507804870605
vol_confirm_ratio,5.724464416503906
candle_pressure,5.719263553619385
dist_r2,5.71469259262085
funding_slope_8,5.670849323272705
dist_avwap_100,5.657751083374023
dist_s2,5.645313262939453
smart_money_confluence,5.612936496734619
schaff_tc,5.587880611419678
dist_r1,5.570854187011719
dist_avwap_200,5.529918670654297
aroon_osc,5.525628089904785
rolling_volatility,5.491127014160156
btc_4h_return,5.490839004516602
price_disp_atr_pct,5.4228291511535645
volatility_ratio,5.350517749786377
fib_dist_236,5.33176326751709
