feature,gain
efficiency_ratio_10,30.631492614746094
prc_total,29.511837005615234
macro_confluence_score,25.182125091552734
regime_high_vol,7.351922512054443
bb_pct_b,6.445362091064453
prc_trend,4.89474630355835
atr_band_position,4.720872402191162
supertrend_dir,4.641897201538086
ema_slope_21,4.553560733795166
starc_position,4.513305187225342
ema_stack_alignment,4.259903907775879
volatility_regime,4.173366546630859
parkinson_vol,3.9926223754882812
is_at_resistance,3.8099915981292725
kvo_signal,3.7917134761810303
price_zscore_200,3.7742533683776855
obv,3.6668968200683594
range_position_score,3.6265947818756104
atr_percentile,3.438225507736206
returns_1h_decay_mean_24,3.3841114044189453
pvt,3.3433008193969727
prc_volume,3.3114190101623535
elder_bull_bear,3.3025436401367188
donchian_position,3.300999164581299
ichi_above_cloud,3.286339044570923
ret_1h,3.2351913452148438
volatility_ratio,3.2271628379821777
atr_pct,3.2078857421875
ichi_dist_tenkan,3.1969668865203857
candle_pressure,3.148451089859009
keltner_width,3.134202480316162
eom_14,3.10683536529541
schaff_tc,3.0689311027526855
bb_width_percentile,3.0649032592773438
dow_sin,3.0646235942840576
higher_high_count_20,3.011448621749878
regime_low_vol,2.9705326557159424
atr_expansion,2.970459461212158
ret_12h,2.968484401702881
tsi,2.947092056274414
dist_bear_ob,2.9360508918762207
rsi_14,2.915004253387451
sar_dist,2.852307081222534
dist_kama,2.8254106044769287
rvi_osc,2.824702262878418
rsi_slope_14,2.8232855796813965
dist_rolling_vwap,2.8140006065368652
vi_plus,2.802670955657959
quantile_position,2.7952511310577393
rvi_sig,2.7824997901916504
