feature,gain
efficiency_ratio_10,36.865570068359375
atr_band_position,34.73820495605469
macro_confluence_score,26.200721740722656
prc_total,25.07735252380371
starc_position,11.854683876037598
linreg_r2_14,8.592506408691406
prc_trend,7.586672306060791
bands_confluence,6.93626070022583
regime_high_vol,6.889217376708984
ema_slope_21,6.888603210449219
oi_price_divergence,6.671131610870361
volatility_regime,6.638359069824219
prc_momentum,5.849678993225098
ema_9_21_cross,5.364012241363525
rvi_osc,5.0692853927612305
atr_percentile,4.722597122192383
ichi_dist_kijun,4.161281585693359
is_squeeze,4.118815898895264
macd_divergence,4.063546180725098
price_zscore_200,4.042354583740234
dist_s2,3.9884650707244873
dist_ema_9,3.954559326171875
volume_confluence,3.926521062850952
dist_avwap_100,3.8575828075408936
cmf_20,3.812325954437256
dist_ema_21,3.7965571880340576
dist_ema_100,3.781240224838257
dist_s1,3.742324113845825
volatility_ratio,3.723161220550537
ema_slope_50,3.7166154384613037
returns_4h,3.641315221786499
pvt,3.581634759902954
keltner_width,3.5237960815429688
dist_vwap,3.4966137409210205
ema_slope_100,3.4879400730133057
dist_ema_50,3.4841976165771484
structure_bias,3.4733219146728516
ema_stack_distance,3.453047037124634
rsi_7,3.4461865425109863
obv_divergence,3.4216761589050293
rel_perf_24h,3.4213197231292725
hurst,3.4165163040161133
ichi_above_cloud,3.394680976867676
kvo,3.3816113471984863
linreg_slope_14,3.3693509101867676
swing_strength_20,3.3072397708892822
atr_pct,3.3050310611724854
mfi_14,3.304582118988037
bb_width_percentile,3.2988195419311523
schaff_tc,3.2661521434783936
