feature,gain
efficiency_ratio_10,32.01487731933594
prc_total,27.00469970703125
macro_confluence_score,25.33077621459961
rvi_osc,7.729711055755615
regime_high_vol,6.753453731536865
atr_band_position,6.606485366821289
starc_position,5.054561614990234
volatility_regime,4.751803398132324
is_at_support,4.706722259521484
adx_14,4.039132118225098
ret_4h,3.9882984161376953
kvo_signal,3.7663257122039795
aroon_osc,3.762524127960205
candle_pressure,3.75465989112854
ema_slope_9,3.70920467376709
supertrend_dir,3.7074666023254395
macd_divergence,3.645395040512085
obv,3.452084541320801
rsi_14,3.428814649581909
bb_width_percentile,3.3801169395446777
rolling_buy_ratio,3.288804531097412
dist_bull_ob,3.285552978515625
is_at_resistance,3.2776200771331787
ichi_dist_kijun,3.2773427963256836
funding_cum_8,3.2437403202056885
market_regime_code,3.2314865589141846
mfi_14,3.2163052558898926
pct_dist_to_support,3.2117831707000732
prc_momentum,3.2040491104125977
prc_trend,3.115556001663208
ema_stack_distance,3.095531463623047
sar_dist,3.0646979808807373
sqz_on,3.049825668334961
kvo,3.046194076538086
price_zscore_200,3.0386481285095215
dist_bear_ob,3.0168161392211914
ema_slope_50,3.0068933963775635
cmf_20,2.997901201248169
pvt,2.9946508407592773
sqz_momentum,2.9847564697265625
ema_slope_21,2.982358455657959
dist_ema_21,2.9440901279449463
atr_percentile,2.943861246109009
ichi_dist_tenkan,2.9284684658050537
pct_dist_to_resistance,2.9192440509796143
macd_hist,2.8999111652374268
dist_r1,2.88484787940979
dist_vwap,2.8343019485473633
cmo_14,2.8221864700317383
range_position_score,2.8052732944488525
