feature,gain
efficiency_ratio_10,38.44955825805664
macro_confluence_score,30.142053604125977
prc_total,26.78449249267578
starc_position,24.625137329101562
atr_band_position,8.78797435760498
volatility_regime,6.3445820808410645
regime_high_vol,6.100893497467041
rvi_osc,5.610189914703369
macd_divergence,4.93822717666626
fib_range_pct,4.864945888519287
range_position_score,4.501365661621094
prc_momentum,4.411622524261475
sar_dist,4.238667964935303
ichi_above_cloud,4.232755661010742
price_zscore_200,4.212282657623291
stoch_k,4.104928493499756
macd_hist,4.04275369644165
prc_trend,4.006513595581055
bands_confluence,3.9255568981170654
trix_15,3.911797285079956
ppo,3.895636796951294
swing_strength_20,3.8697311878204346
ichi_dist_cloud_top,3.8622677326202393
rsi_14,3.7788307666778564
ichi_dist_kijun,3.765256404876709
obv,3.7528340816497803
pct_dist_to_support,3.704768657684326
rolling_buy_ratio,3.693904161453247
historical_volatility,3.673311710357666
btc_dist_ema200,3.6596386432647705
smart_money_confluence,3.60676908493042
dist_ema_100,3.593000888824463
dist_pivot,3.5468757152557373
vwap_delta_1,3.5105156898498535
dist_avwap_50,3.5105013847351074
dist_bear_ob,3.5050113201141357
parkinson_vol,3.4795846939086914
cmf_20,3.4707655906677246
vi_minus,3.395622491836548
btc_ratio_ma_dist,3.3723526000976562
dist_bull_ob,3.351924419403076
rel_perf_24h,3.3270864486694336
close_decay_mean_24,3.3128254413604736
vi_plus,3.295647382736206
atr_14,3.280153274536133
volatility_ratio,3.2513585090637207
total_confluence,3.2304275035858154
dist_s1,3.22975492477417
is_at_support,3.228733539581299
realized_volatility,3.2167904376983643
