feature,gain
prc_total,40.44734191894531
macro_confluence_score,31.254579544067383
is_at_resistance,18.639833450317383
starc_position,16.373891830444336
bb_pct_b,11.762449264526367
atr_band_position,9.007259368896484
rvi_osc,7.187693119049072
donchian_position,6.671936511993408
is_at_support,6.563058376312256
pct_dist_to_resistance,6.506263732910156
volatility_regime,6.157449722290039
ret_12h,6.0009236335754395
ema_slope_9,5.755099773406982
ema_slope_50,5.651598930358887
pct_dist_to_support,5.57778263092041
dist_ema_21,5.3465142250061035
ema_slope_21,5.246457576751709
macd_divergence,5.214720249176025
total_confluence,4.961880207061768
returns_1h_decay_mean_24,4.724453926086426
ret_24h,4.680217266082764
fib_dist_236,4.563744068145752
dist_ema_9,4.563663959503174
dist_avwap_200,4.557400226593018
prc_momentum,4.5457587242126465
close_decay_mean_24,4.459352970123291
volatility_ratio,4.3993635177612305
dow_sin,4.397747993469238
fib_dist_618,4.376977443695068
ichi_above_cloud,4.3741936683654785
cci_20,4.343991756439209
ichi_dist_cloud_top,4.312406063079834
dist_pivot,4.277153491973877
prc_trend,4.254726409912109
btc_dist_ema200,4.233429908752441
macd_hist,4.148393630981445
dist_avwap_100,4.113373756408691
trix_15,4.108582019805908
dist_vwap,4.107014179229736
pvt,4.093449592590332
fib_dist_382,4.084033489227295
ema_stack_alignment,4.016251087188721
rsi_14,3.9966235160827637
ema_slope_100,3.957463502883911
cmo_14,3.9509410858154297
dpo_20,3.9454357624053955
dist_rolling_vwap,3.9451236724853516
price_zscore_200,3.9434397220611572
dist_ema_100,3.9159600734710693
rsi_7,3.8904924392700195
