feature,gain
starc_position,39.971763610839844
efficiency_ratio_10,38.623451232910156
macro_confluence_score,27.237340927124023
prc_total,26.843826293945312
atr_band_position,7.389580726623535
bb_pct_b,7.226063251495361
volatility_regime,5.710012435913086
ema_alignment,5.458526134490967
prc_momentum,5.090281009674072
price_zscore_200,5.015811920166016
regime_high_vol,4.7857818603515625
aroon_up,4.70722770690918
atr_percentile,4.587038993835449
ema_slope_50,4.5215654373168945
btc_dist_ema200,4.493505954742432
momentum_confluence,4.4583964347839355
ema_slope_100,4.252041339874268
adx_14,4.20789909362793
ppo,4.0871453285217285
dist_ema_100,3.951639175415039
trix_15,3.7065579891204834
prc_trend,3.699187755584717
obv_slope_20,3.680905818939209
ret_4h,3.650723457336426
obv,3.519340991973877
pct_dist_to_support,3.503786087036133
rsi_acceleration_14,3.4519691467285156
ema_stack_distance,3.4304215908050537
rvi_osc,3.4209423065185547
ret_24h,3.4139904975891113
is_at_support,3.374683380126953
supertrend_dist,3.3722622394561768
cci_20,3.3612351417541504
dist_bear_ob,3.337390184402466
regime_low_vol,3.323989152908325
fib_dist_500,3.303419351577759
dist_r1,3.2963950634002686
volatility_ratio,3.2823829650878906
is_squeeze,3.2769837379455566
cmf_20,3.2465689182281494
returns_4h,3.2302472591400146
dist_ema_9,3.221949338912964
aroon_osc,3.205906867980957
kvo,3.200148344039917
schaff_tc,3.1998813152313232
tsi,3.1819052696228027
prc_bands,3.1707704067230225
range_position_score,3.1639363765716553
choppiness,3.1625607013702393
dist_s2,3.149857759475708
