feature,gain
macro_confluence_score,84.62471008300781
prc_total,52.13481140136719
efficiency_ratio_10,18.36840057373047
funding_slope_8,7.9462714195251465
tsi,7.2856221199035645
dist_avwap_100,7.074502944946289
cmf_20,7.069722652435303
prc_momentum,7.0674848556518555
dist_s2,7.051443576812744
kst_signal,6.846144676208496
entropy,6.834479808807373
atr_band_position,6.792186737060547
obv,6.695506572723389
dist_r2,6.683084011077881
quantile_position,6.642555236816406
relative_volume,6.553040981292725
prc_volume,6.467100620269775
rvi_vol,6.4516754150390625
atr_pct,6.435745716094971
volume_atr_efficiency,6.434154033660889
funding_rate_zscore,6.412677764892578
fib_range_pct,6.411258220672607
dow_sin,6.408631324768066
candle_pressure,6.396910667419434
lower_low_count_20,6.338510036468506
pct_dist_to_support,6.311246395111084
rsi_acceleration_14,6.26317024230957
volume_delta_4,6.152905464172363
dist_bear_ob,6.150367259979248
dist_pivot,6.134549617767334
hurst,6.126464366912842
vi_minus,6.051045894622803
mfi_14,6.039619445800781
dist_bull_ob,6.037656784057617
prc_smart_money,6.021817207336426
fib_dist_618,6.010426044464111
rolling_buy_ratio,5.986488342285156
vol_confirm_ratio,5.974825859069824
bb_width_percentile,5.973067283630371
dist_s1,5.953655242919922
atr_expansion,5.866177082061768
dist_ema_200,5.833990097045898
fib_dist_500,5.789036273956299
dist_r1,5.759903907775879
funding_cum_8,5.749642372131348
pvt,5.716239929199219
choppiness,5.693465709686279
volatility_skew,5.684959411621094
ema_stack_distance,5.6600341796875
parkinson_vol,5.629478454589844
