feature,gain
starc_position,45.02478790283203
efficiency_ratio_10,41.358154296875
atr_band_position,30.763690948486328
macro_confluence_score,28.19761085510254
prc_total,24.958972930908203
is_squeeze,12.397652626037598
regime_high_vol,8.206327438354492
volatility_regime,6.633707046508789
market_regime_code,5.805058479309082
rvi_osc,5.7525434494018555
elder_bull,4.964615345001221
prc_trend,4.7807087898254395
ema_slope_100,4.497562408447266
prc_momentum,4.419898986816406
volatility_ratio,4.332390785217285
ema_slope_9,4.161158084869385
vwap_delta_4,4.054044246673584
btc_dist_ema200,4.032450199127197
rsi_14,3.9139575958251953
schaff_tc,3.899080276489258
dist_r2,3.856593370437622
dist_ema_100,3.8224074840545654
macd,3.771865129470825
bb_pct_b,3.7539288997650146
obv_slope_20,3.7214128971099854
linreg_slope_14,3.6876025199890137
vwap_delta_12,3.6767876148223877
ret_4h,3.6740875244140625
trend_confluence,3.6464145183563232
fisher,3.5862534046173096
elder_bull_bear,3.576183557510376
dist_kama,3.520235776901245
sar_dist,3.4613287448883057
ppo_signal,3.4539480209350586
fib_range_pct,3.4093329906463623
macd_divergence,3.4011905193328857
quantile_position,3.398906707763672
rsi_21,3.3988304138183594
funding_rate_zscore,3.386465549468994
dist_s2,3.3607869148254395
returns_1h_decay_mean_24,3.336069345474243
parkinson_vol,3.313037872314453
swing_strength_20,3.3063981533050537
ema_alignment,3.288595676422119
ema_stack_distance,3.2656631469726562
dist_bear_ob,3.23071026802063
kvo,3.2068095207214355
candle_pressure,3.164508581161499
fib_dist_618,3.141479730606079
cci_20,3.1180877685546875
