feature,gain
macro_confluence_score,23.347808837890625
prc_total,21.343721389770508
regime_high_vol,18.200515747070312
market_regime_code,10.515176773071289
starc_position,9.41467571258545
atr_band_position,9.17175579071045
bb_pct_b,6.81169319152832
bands_confluence,6.2527079582214355
volatility_regime,5.5821919441223145
cmo_14,5.458197116851807
rvi_osc,5.247437953948975
atr_pct,4.819454669952393
prc_trend,4.635701656341553
atr_percentile,4.626180171966553
prc_bands,4.594919681549072
prc_momentum,4.492562294006348
ema_alignment,4.4556379318237305
total_confluence,4.442736625671387
close_decay_mean_24,4.109813690185547
elder_bull_bear,4.021622657775879
cci_20,4.009469985961914
volume,4.005583763122559
price_zscore_200,3.9862899780273438
momentum_confluence,3.864004373550415
dist_avwap_100,3.851020097732544
ppo_signal,3.8407065868377686
macd_signal,3.759671926498413
higher_high_count_20,3.757476329803467
aroon_osc,3.74942684173584
returns_1h_decay_mean_24,3.737300157546997
rolling_buy_ratio,3.7271411418914795
linreg_slope_14,3.687566041946411
kvo,3.6816227436065674
ichi_dist_cloud_top,3.6692073345184326
trend_confluence,3.6341075897216797
pct_dist_to_resistance,3.632007598876953
quantile_position,3.608196496963501
dist_r2,3.5591018199920654
pvt,3.556943893432617
fib_dist_236,3.51784086227417
ichi_dist_tenkan,3.5144662857055664
pct_dist_to_support,3.497157573699951
parkinson_vol,3.496289014816284
rsi_14,3.4382011890411377
dist_r1,3.4338576793670654
dist_ema_21,3.43338942527771
dist_rolling_vwap,3.43316388130188
market_phase,3.424596071243286
se_position,3.402381658554077
volatility_ratio,3.397165536880493
