feature,gain
prc_total,21.0345401763916
macro_confluence_score,19.127225875854492
starc_position,8.682814598083496
atr_band_position,6.000509262084961
prc_trend,5.017964839935303
rvi_osc,3.5919737815856934
total_confluence,3.5415425300598145
historical_volatility,3.4217636585235596
volatility_regime,3.3366944789886475
prc_momentum,3.162734031677246
atr_pct,3.156810998916626
dist_ema_21,3.149397373199463
regime_low_vol,3.0519707202911377
ema_slope_21,3.025700092315674
bands_confluence,2.9801878929138184
pct_dist_to_support,2.6908257007598877
rolling_volatility,2.5641937255859375
ret_12h,2.552889585494995
regime_high_vol,2.543731212615967
btc_dist_ema200,2.5310778617858887
higher_high_count_20,2.448723077774048
volatility_ratio,2.4220619201660156
prc_bands,2.37939453125
realized_volatility,2.2841684818267822
dist_ema_9,2.2730624675750732
cmo_14,2.133819818496704
ema_slope_50,2.112273693084717
ema_slope_9,2.0546457767486572
bb_width_percentile,2.0512521266937256
rsi_acceleration_14,2.0446908473968506
ema_slope_100,2.0239627361297607
keltner_width,2.014927625656128
funding_cum_8,2.0063934326171875
ichi_dist_tenkan,1.9744120836257935
dist_s1,1.938598871231079
returns_1h_decay_mean_24,1.9258073568344116
ema_alignment,1.9235777854919434
lower_low_count_20,1.9158700704574585
dist_avwap_100,1.9092605113983154
parkinson_vol,1.9068567752838135
dist_vwap,1.8896849155426025
pct_dist_to_resistance,1.8827043771743774
dist_bull_ob,1.8777694702148438
vwap_delta_1,1.8661702871322632
smart_money_confluence,1.8548022508621216
schaff_tc,1.84269118309021
fib_dist_382,1.8413747549057007
supertrend_dir,1.8235682249069214
trend_confluence,1.8171494007110596
bb_pct_b,1.8170292377471924
