feature,gain
prc_total,107.50192260742188
macro_confluence_score,76.62862396240234
efficiency_ratio_10,12.110053062438965
prc_trend,5.189218997955322
aroon_osc,5.15277099609375
fib_range_pct,5.040209770202637
cci_20,4.860345840454102
pvt,4.841812610626221
atr_percentile,4.767012596130371
ichi_dist_cloud_top,4.682855606079102
dist_r1,4.519813537597656
choppiness,4.504313945770264
prc_volume,4.497519493103027
obv,4.497279644012451
fvg_distance,4.464630126953125
higher_high_count_20,4.454408645629883
fib_dist_618,4.36728572845459
volatility_regime,4.359657287597656
fib_dist_500,4.352383136749268
dist_bull_ob,4.341325283050537
btc_dist_ema200,4.31568717956543
dist_ema_200,4.269722938537598
price_zscore_200,4.183085918426514
dist_r2,4.183072090148926
mfi_14,4.159760475158691
dist_avwap_100,4.159629821777344
cmf_20,4.152647495269775
dist_ema_100,4.149977684020996
atr_pct,4.132179260253906
bb_pct_b,4.071797847747803
dist_pivot,4.066491603851318
williams_r,4.060220718383789
prc_momentum,4.044989585876465
parkinson_vol,4.031004905700684
dist_s1,3.9988620281219482
ema_stack_distance,3.963710069656372
btc_corr_24h,3.9437787532806396
supertrend_dist,3.8869309425354004
dist_bear_ob,3.874194383621216
funding_slope_8,3.828151226043701
dist_s2,3.7900073528289795
starc_position,3.760211944580078
adx_14,3.7540762424468994
rolling_volatility,3.7223706245422363
entropy,3.719160318374634
keltner_width,3.6965372562408447
dow_cos,3.680107593536377
volatility_skew,3.663458824157715
volume_delta_14,3.650827169418335
rel_perf_24h,3.630549669265747
