feature,gain
efficiency_ratio_10,29.300556182861328
macro_confluence_score,21.394245147705078
prc_total,19.213966369628906
starc_position,8.852970123291016
regime_high_vol,7.835812568664551
bb_pct_b,5.277956962585449
ret_12h,5.057078838348389
atr_band_position,4.284444808959961
volatility_regime,3.960815668106079
prc_momentum,3.9049201011657715
prc_trend,3.7431576251983643
linreg_r2_14,3.146354913711548
force_index,2.6610729694366455
ichi_above_cloud,2.514902353286743
trend_confluence,2.441047191619873
atr_percentile,2.364109754562378
rvi_osc,2.301003932952881
dist_ema_100,2.183197021484375
ema_slope_21,2.162414789199829
atr_pct,2.1336331367492676
vwap_delta_1,2.0771660804748535
pct_dist_to_support,2.0392279624938965
returns_1h_decay_mean_24,2.038874864578247
volatility_ratio,1.9888299703598022
dist_avwap_100,1.983322024345398
kvo,1.9785269498825073
dist_s1,1.9686568975448608
sar_trend,1.943946361541748
volume_delta_14,1.905107855796814
keltner_width,1.8873345851898193
dist_vwap,1.8831924200057983
ppo,1.8813525438308716
range_position_score,1.8554511070251465
quantile_position,1.8538473844528198
gaussian_position,1.8356633186340332
dist_s2,1.8024506568908691
swing_strength_20,1.785947322845459
atr_expansion,1.7776538133621216
ema_stack_distance,1.7686183452606201
ema_slope_9,1.7646749019622803
fib_dist_236,1.7556241750717163
dist_ema_21,1.7501606941223145
dist_ema_50,1.746170997619629
higher_high_count_20,1.7460618019104004
dist_pivot,1.7457541227340698
ichi_dist_cloud_top,1.7375143766403198
prc_bands,1.732384204864502
stoch_k,1.7132372856140137
bb_width_percentile,1.7114176750183105
dist_r1,1.7080858945846558
