feature,gain
macro_confluence_score,111.98847961425781
prc_total,102.05712890625
prc_momentum,29.978652954101562
efficiency_ratio_10,29.302886962890625
prc_trend,19.592748641967773
atr_band_position,15.851880073547363
cci_20,11.408716201782227
atr_percentile,11.332118034362793
funding_cum_8,11.108409881591797
elder_bull,10.695563316345215
vol_confirm_ratio,10.32922649383545
higher_high_count_20,10.31086254119873
sqz_momentum,10.238693237304688
rsi_21,10.148247718811035
dist_r2,9.911001205444336
rolling_buy_ratio,9.881062507629395
cmf_20,9.811264038085938
hurst,9.742029190063477
dist_s2,9.713711738586426
trend_consistency_20,9.641602516174316
funding_rate_zscore,9.63835334777832
elder_bull_bear,9.629940032958984
dist_ema_50,9.52299976348877
supertrend_dist,9.28165340423584
ppo_signal,9.229700088500977
tsi,9.138822555541992
rvi_sig,9.079216957092285
ret_24h,9.077475547790527
fisher_sig,8.918702125549316
rolling_volatility,8.90865707397461
volatility_regime,8.83751106262207
dist_avwap_200,8.806747436523438
volume_zscore,8.782075881958008
aroon_osc,8.711531639099121
rsi_7,8.680002212524414
rel_perf_24h,8.633249282836914
btc_dist_ema200,8.617998123168945
rvi_vol,8.612706184387207
ema_stack_distance,8.592581748962402
ichi_dist_cloud_top,8.590096473693848
price_zscore_200,8.585891723632812
volatility_ratio,8.571948051452637
dist_s1,8.560676574707031
candle_pressure,8.534146308898926
dist_ema_200,8.527709007263184
quantile_position,8.505058288574219
dist_ema_100,8.492881774902344
aroon_up,8.45875072479248
dist_kama,8.403037071228027
adx_14,8.365964889526367
