feature,gain
macro_confluence_score,71.7846908569336
prc_total,55.219825744628906
efficiency_ratio_10,20.30275535583496
dist_vwap,11.635844230651855
prc_trend,11.578264236450195
market_phase,7.589221000671387
atr_band_position,7.078878402709961
elder_bull,6.6726393699646
atr_percentile,6.633910655975342
ema_stack_distance,6.532442569732666
prc_momentum,6.266497611999512
upper_wick_pct,6.183692455291748
stoch_slope,6.132360935211182
volatility_regime,6.0720648765563965
ichi_dist_cloud_top,6.063677787780762
price_zscore_200,6.012157440185547
atr_pct,6.0054168701171875
macd_signal,5.94881534576416
prc_volume,5.861452579498291
dist_r2,5.7187957763671875
dist_ema_200,5.716935634613037
dist_kama,5.693009376525879
ret_24h,5.6505961418151855
dist_ema_9,5.644186496734619
dist_avwap_200,5.629992961883545
dist_bear_ob,5.554491996765137
kst_signal,5.482721328735352
stoch_k,5.462278366088867
fib_dist_382,5.461766719818115
funding_slope_8,5.461295127868652
volume_delta_12,5.37526798248291
dist_ema_50,5.351451396942139
funding_neutral,5.341566562652588
aroon_osc,5.339038372039795
supertrend_dist,5.245344161987305
cmf_20,5.2442307472229
volume_zscore,5.201141357421875
prc_smart_money,5.200892925262451
candle_pressure,5.1842193603515625
close_delta_4,5.16090202331543
rel_perf_4h,5.155224800109863
ret_12h,5.152082920074463
funding_cum_8,5.1360626220703125
dow_cos,5.116672992706299
volatility_ratio,5.09633207321167
hurst,5.077868938446045
dist_s2,5.074973106384277
funding_rate_zscore,5.05539608001709
starc_position,5.030842304229736
btc_corr_24h,5.029400825500488
