feature,gain
macro_confluence_score,96.62274169921875
prc_total,83.38969421386719
prc_momentum,32.416263580322266
efficiency_ratio_10,29.90928840637207
dist_bull_ob,18.47144317626953
prc_trend,17.608745574951172
atr_band_position,14.068730354309082
dist_bear_ob,12.866121292114258
btc_ratio_ma_dist,12.567842483520508
sar_dist,12.227749824523926
cmf_20,11.918251991271973
funding_rate_zscore,11.409524917602539
ichi_dist_kijun,11.009298324584961
dist_avwap_50,10.74494457244873
gaussian_position,10.667742729187012
dist_s1,10.56564998626709
fib_range_pct,10.46331787109375
volatility_regime,10.189988136291504
macd,10.128698348999023
starc_position,10.018362045288086
ema_50_200_cross,9.971213340759277
dist_ema_200,9.821146965026855
quantile_position,9.756433486938477
entropy,9.693885803222656
funding_cum_8,9.649445533752441
hour_sin,9.646788597106934
ultimate_osc,9.51977825164795
ichi_dist_cloud_top,9.304594993591309
ret_24h,9.267290115356445
aroon_osc,9.253057479858398
dist_pivot,9.232834815979004
pvt,9.21548080444336
elder_bear,9.155478477478027
funding_slope_8,9.110276222229004
dist_r2,9.072121620178223
atr_percentile,9.068961143493652
dow_cos,9.000444412231445
dist_kama,8.911306381225586
trend_consistency_20,8.840609550476074
dist_avwap_200,8.796902656555176
price_zscore_200,8.761579513549805
volatility_ratio,8.756057739257812
rolling_volatility,8.600787162780762
dist_s2,8.520079612731934
mfi_14,8.510615348815918
trix_15,8.4839506149292
adx_14,8.477886199951172
obv,8.417201042175293
rel_perf_24h,8.415693283081055
kst_signal,8.340071678161621
