feature,gain
macro_confluence_score,89.57220458984375
prc_total,85.76078033447266
prc_trend,37.081546783447266
prc_momentum,30.70924186706543
efficiency_ratio_10,30.287214279174805
starc_position,13.954867362976074
ultimate_osc,10.530827522277832
elder_bull,10.498025894165039
aroon_up,10.064772605895996
price_zscore_200,9.880724906921387
trend_consistency_20,9.568839073181152
bb_width_percentile,9.343283653259277
dist_bull_ob,9.306891441345215
macd_hist,8.618687629699707
funding_slope_8,8.45588493347168
smart_money_confluence,8.44872760772705
close_position,8.440074920654297
pvt,8.296659469604492
sqz_momentum,8.203347206115723
hour_sin,8.102273941040039
dist_avwap_200,8.08363151550293
pct_dist_to_support,7.992892742156982
macd_signal,7.9466552734375
funding_rate_zscore,7.889854431152344
lower_low_count_20,7.75776481628418
dist_bear_ob,7.755013942718506
dist_pivot,7.745128631591797
dist_s2,7.635614395141602
pct_dist_to_resistance,7.604310989379883
parkinson_vol,7.582210063934326
dist_kama,7.512961387634277
dow_cos,7.383072376251221
fib_dist_236,7.363266468048096
range_position_score,7.333675861358643
fib_range_pct,7.312326431274414
dow_sin,7.2642998695373535
quantile_position,7.254421234130859
dist_avwap_50,7.248251914978027
fib_dist_618,7.217617511749268
trix_15,7.127047061920166
swing_strength_20,7.1119866371154785
dist_avwap_100,7.09205436706543
williams_r,7.08515739440918
hurst,6.847139358520508
rsi_acceleration_14,6.843056678771973
btc_ratio_ma_dist,6.804384231567383
obv,6.7526068687438965
btc_dist_ema200,6.717170715332031
entropy,6.682486534118652
lower_wick_pct,6.65928316116333
