feature,gain
efficiency_ratio_10,40.50508499145508
macro_confluence_score,27.299476623535156
prc_total,26.447668075561523
regime_high_vol,13.871304512023926
ichi_above_cloud,12.684271812438965
starc_position,9.339406967163086
atr_band_position,8.109796524047852
rvi_osc,7.644172191619873
market_regime_code,7.568944454193115
volatility_regime,6.0493550300598145
bands_confluence,5.981801509857178
atr_percentile,5.44530725479126
ichi_dist_cloud_top,4.9758620262146
ema_alignment,4.630488395690918
dist_pivot,4.385042667388916
dow_sin,4.064323425292969
structure_bias,4.055383682250977
cmo_14,3.9657952785491943
fib_range_pct,3.920442581176758
schaff_tc,3.905806541442871
obv,3.9051055908203125
rsi_acceleration_14,3.8156752586364746
kvo,3.7745513916015625
prc_trend,3.7285828590393066
trix_15,3.591839551925659
aroon_osc,3.5852885246276855
prc_bands,3.5459444522857666
parkinson_vol,3.5226407051086426
fib_dist_618,3.504199743270874
atr_pct,3.4525389671325684
kvo_signal,3.4273552894592285
dist_bear_ob,3.399407386779785
force_index,3.348349094390869
gaussian_position,3.3465869426727295
fib_dist_236,3.247309446334839
ppo_signal,3.240492582321167
ret_12h,3.2289278507232666
volume_delta_14,3.2159218788146973
ret_24h,3.165358304977417
dist_ema_21,3.1563620567321777
fib_dist_500,3.1463916301727295
ema_stack_alignment,3.135741710662842
cci_20,3.1305110454559326
obv_slope_20,3.122051477432251
prc_momentum,3.0776939392089844
dist_r1,3.054619073867798
choppiness,3.050316572189331
rel_perf_24h,3.0050899982452393
kst,3.003814220428467
dist_avwap_100,2.974581480026245
