feature,gain
macro_confluence_score,23.592180252075195
prc_total,23.207244873046875
regime_high_vol,22.359251022338867
starc_position,9.069664001464844
volatility_regime,7.224224090576172
market_regime_code,7.171368598937988
atr_band_position,6.207278728485107
prc_trend,5.214540958404541
prc_momentum,5.159337043762207
cmo_14,4.986292839050293
ema_slope_50,4.95677375793457
rsi_14,4.942004680633545
rvi_osc,4.933931350708008
cci_20,4.736907482147217
dist_ema_9,4.729509353637695
ema_slope_21,4.711889266967773
parkinson_vol,4.648197174072266
ema_slope_9,4.628900527954102
dist_ema_50,4.541393756866455
bb_pct_b,4.471485614776611
prc_volume,4.392293453216553
total_confluence,4.361298084259033
elder_bear,4.343468189239502
dist_s1,4.3393988609313965
atr_expansion,4.310726165771484
btc_ratio_ma_dist,4.288887977600098
elder_bull_bear,4.2396135330200195
atr_percentile,4.216792106628418
dist_ema_21,4.212057113647461
choppiness,4.016540050506592
prc_bands,3.9875075817108154
pct_dist_to_support,3.9624722003936768
market_phase,3.9381489753723145
ichi_dist_tenkan,3.910505771636963
obv_divergence,3.9089362621307373
ret_12h,3.8395588397979736
is_at_resistance,3.8358423709869385
volatility_ratio,3.8146495819091797
ema_9_21_cross,3.792318820953369
ppo,3.7549173831939697
dist_vwap,3.744844913482666
rsi_slope_14,3.6390938758850098
eom_14,3.6219379901885986
dist_pivot,3.6074814796447754
bb_width_percentile,3.595078945159912
ret_4h,3.5776166915893555
volume_delta_14,3.5716915130615234
btc_dist_ema200,3.5622215270996094
dist_kama,3.5539910793304443
close_delta_4,3.55263352394104
