feature,gain
efficiency_ratio_10,50.27688217163086
prc_total,33.09776306152344
macro_confluence_score,28.829030990600586
prc_momentum,18.586200714111328
starc_position,17.002161026000977
kvo,10.39176082611084
total_confluence,9.345518112182617
bb_pct_b,9.29592514038086
volatility_regime,9.193620681762695
prc_trend,8.590620994567871
regime_high_vol,7.857773780822754
ema_slope_50,7.78502082824707
ema_9_21_cross,7.7301483154296875
realized_volatility,7.599887371063232
dist_s1,7.462210655212402
atr_band_position,7.453949451446533
ema_alignment,7.42772912979126
ema_slope_100,7.158502101898193
pct_dist_to_support,7.0517578125
dist_r2,6.885798454284668
ichi_above_cloud,6.756074905395508
fib_dist_500,6.752368450164795
dist_bear_ob,6.7146525382995605
atr_percentile,6.618053913116455
rvi_osc,6.606012344360352
ppo,6.527178764343262
rolling_volatility,6.490386486053467
kvo_signal,6.467892646789551
ichi_dist_cloud_top,6.445575714111328
historical_volatility,6.312092304229736
dist_rolling_vwap,6.190212726593018
atr_pct,6.055907726287842
mfi_14,5.961916923522949
volatility_ratio,5.877896785736084
vwap_delta_12,5.825382232666016
trend_confluence,5.708892822265625
cci_20,5.700850009918213
fib_dist_236,5.694048881530762
obv,5.681695938110352
keltner_width,5.613829612731934
bb_width_percentile,5.608722686767578
tsi,5.596419334411621
funding_cum_8,5.592264652252197
parkinson_vol,5.572348117828369
higher_high_count_20,5.552451133728027
dow_sin,5.544641971588135
momentum_confluence,5.519610404968262
range_position_score,5.511297702789307
force_index,5.465876579284668
supertrend_dist,5.432474613189697
