feature,gain
prc_total,135.7599639892578
macro_confluence_score,64.46932983398438
efficiency_ratio_10,17.438953399658203
higher_high_count_20,6.622730731964111
volume_delta_14,6.483156204223633
btc_dist_ema200,6.473255157470703
funding_cum_8,6.386264324188232
pct_dist_to_support,6.313784122467041
dist_avwap_200,6.278390884399414
elder_bull_bear,6.149721145629883
parkinson_vol,6.091782093048096
prc_trend,6.032549858093262
atr_band_position,5.953385353088379
aroon_up,5.84850549697876
dist_bear_ob,5.836688995361328
stoch_slope,5.731303691864014
funding_rate_zscore,5.709236145019531
rel_perf_24h,5.6338396072387695
mfi_14,5.618649482727051
rvi_vol,5.503843307495117
volume_zscore,5.419192314147949
supertrend_dist,5.413231372833252
prc_momentum,5.40631103515625
btc_ratio_ma_dist,5.402296543121338
price_zscore_200,5.39306640625
btc_corr_24h,5.388148307800293
cmf_20,5.373257160186768
hour_sin,5.351745128631592
rolling_volatility,5.326815605163574
close_delta_4,5.289035320281982
hour_cos,5.281554222106934
dist_ema_200,5.276488780975342
volatility_ratio,5.226505756378174
prc_volume,5.22089958190918
fib_range_pct,5.206416130065918
obv,5.175995349884033
adx_14,5.17167854309082
starc_position,5.152453422546387
dow_sin,5.145698070526123
pvt,5.1085004806518555
dist_ema_9,5.0728535652160645
ultimate_osc,4.954416275024414
dist_s1,4.934596061706543
dist_r2,4.863213539123535
close_position,4.851341724395752
rel_perf_1h,4.849364757537842
dist_bull_ob,4.830029487609863
dist_s2,4.826163291931152
volatility_skew,4.811967849731445
vol_confirm_ratio,4.796777248382568
