feature,gain
prc_total,30.958179473876953
macro_confluence_score,28.262901306152344
starc_position,19.35238265991211
atr_band_position,15.529818534851074
rvi_osc,8.620115280151367
market_phase,7.196004867553711
cci_20,6.776210784912109
linreg_slope_14,6.772918224334717
elder_bull_bear,6.3202056884765625
historical_volatility,6.203427314758301
trend_confluence,5.701061725616455
prc_trend,5.507602691650391
volatility_regime,5.199743747711182
dist_bear_ob,5.107227325439453
realized_volatility,5.029517650604248
prc_momentum,4.9541239738464355
fib_dist_382,4.885772705078125
rolling_volatility,4.791539669036865
dist_avwap_200,4.757325649261475
dist_ema_100,4.684656620025635
supertrend_dir,4.6185078620910645
market_regime_code,4.572607040405273
dist_pivot,4.525193691253662
volatility_ratio,4.458761692047119
volume_delta_14,4.4349470138549805
ichi_dist_cloud_top,4.434354305267334
ema_stack_alignment,4.422226905822754
ema_slope_9,4.397568702697754
parkinson_vol,4.3970046043396
dist_r1,4.370366096496582
obv,4.294253826141357
atr_14,4.24806022644043
volume,4.239529132843018
dist_s2,4.199254989624023
dist_ema_9,4.1835150718688965
ema_slope_200,4.178260803222656
ppo_signal,4.149781703948975
dist_r2,4.142755508422852
momentum_confluence,4.130087375640869
returns_1h_decay_mean_24,4.063969135284424
btc_dist_ema200,4.05418586730957
dist_s1,4.035567760467529
range_position_score,4.021212577819824
fib_dist_236,3.9728293418884277
kvo,3.9680423736572266
atr_pct,3.9388082027435303
ret_12h,3.910122871398926
fib_dist_500,3.899228811264038
price_zscore_200,3.890103816986084
tsi,3.881899118423462
