feature,gain
macro_confluence_score,26.54631233215332
prc_total,19.971189498901367
starc_position,10.205390930175781
regime_high_vol,8.187621116638184
total_confluence,7.512194633483887
atr_band_position,7.04874324798584
rvi_osc,5.760941982269287
dist_ema_100,5.6182026863098145
bb_pct_b,5.314043045043945
ema_slope_100,5.148558139801025
volatility_regime,4.833239555358887
ichi_cloud_bull,4.518344879150391
bands_confluence,4.355395793914795
prc_momentum,4.327445030212402
is_at_resistance,4.320220947265625
prc_trend,4.262434959411621
regime_low_vol,4.182072162628174
macd,4.05197286605835
linreg_slope_14,3.8693618774414062
ema_slope_9,3.742093801498413
ret_12h,3.738525390625
dist_avwap_200,3.6436996459960938
macd_signal,3.4563236236572266
kst,3.4141228199005127
close_decay_mean_24,3.4039065837860107
volatility_ratio,3.307771921157837
ema_slope_200,3.2838454246520996
ppo_signal,3.283813953399658
dist_vwap,3.267162561416626
pct_dist_to_support,3.264925241470337
dist_ema_9,3.264360189437866
williams_r,3.2579774856567383
dist_ema_200,3.245884418487549
fib_dist_382,3.2177188396453857
close_delta_12,3.211564302444458
elder_bull_bear,3.1880228519439697
realized_volatility,3.1802515983581543
elder_bear,3.1492385864257812
ichi_dist_tenkan,3.1303107738494873
donchian_position,3.1137843132019043
atr_percentile,3.107379198074341
ema_slope_50,3.097609758377075
tsi,3.0700554847717285
dist_pivot,3.039973735809326
kvo_signal,3.025496244430542
trix_15,2.964545965194702
momentum_confluence,2.9638662338256836
keltner_width,2.9582040309906006
dist_bull_ob,2.95678448677063
dist_avwap_100,2.8973937034606934
