feature,gain
efficiency_ratio_10,24.685327529907227
macro_confluence_score,15.58828353881836
prc_total,14.78143310546875
supertrend_dir,13.967107772827148
atr_band_position,5.855867385864258
volatility_regime,5.0031023025512695
prc_momentum,4.1828436851501465
prc_trend,4.135194778442383
atr_percentile,3.7013566493988037
dist_ema_50,3.598710536956787
rel_perf_24h,3.478872537612915
elder_bull_bear,3.45859432220459
range_position_score,3.4267659187316895
macd_divergence,3.373152256011963
starc_position,3.151402711868286
dist_ema_21,3.140765905380249
prc_bands,3.1270599365234375
bb_width_percentile,3.124530076980591
dist_avwap_200,3.0744621753692627
swing_strength_20,2.9964354038238525
pct_dist_to_support,2.9752988815307617
rvi_sig,2.974958896636963
atr_expansion,2.928126096725464
linreg_r2_14,2.801607131958008
quantile_position,2.7905430793762207
bb_pct_b,2.765148401260376
macd_hist,2.737307071685791
rel_perf_4h,2.7345988750457764
volatility_ratio,2.7059481143951416
supertrend_dist,2.7033214569091797
rsi_acceleration_14,2.667833089828491
stoch_slope,2.651620626449585
keltner_width,2.614780902862549
regime_high_vol,2.600691556930542
sar_dist,2.5579824447631836
ema_slope_21,2.525235176086426
market_regime_code,2.496060609817505
rolling_buy_ratio,2.4949004650115967
se_position,2.492215871810913
btc_ratio_ma_dist,2.4736862182617188
tsi,2.4678733348846436
choppiness,2.4606003761291504
ema_stack_distance,2.4368066787719727
elder_bear,2.4365146160125732
aroon_osc,2.4208641052246094
volume_delta_14,2.391819953918457
sqz_momentum,2.377995491027832
donchian_position,2.3246407508850098
schaff_tc,2.3111088275909424
momentum_confluence,2.3055543899536133
