feature,gain
efficiency_ratio_10,38.95991897583008
macro_confluence_score,28.468873977661133
prc_total,25.440134048461914
atr_band_position,15.196625709533691
starc_position,9.443201065063477
regime_high_vol,7.3483381271362305
dist_vwap,7.200105667114258
ema_stack_alignment,5.942269802093506
donchian_position,5.463346481323242
supertrend_dir,5.172724723815918
ppo,5.1593756675720215
fib_range_pct,5.0332746505737305
ret_1h,5.022976875305176
volatility_regime,4.960674285888672
rvi_osc,4.944616317749023
volume_delta,4.726233005523682
ret_24h,4.682317733764648
prc_trend,4.671126365661621
trix_15,4.416687488555908
atr_pct,4.329372406005859
ppo_signal,4.217233657836914
btc_dist_ema200,4.197872638702393
ichi_dist_cloud_top,3.9815688133239746
close_decay_mean_24,3.9321353435516357
dist_ema_100,3.9187934398651123
ema_slope_50,3.8746261596679688
dist_r2,3.8361594676971436
atr_percentile,3.7177011966705322
bands_confluence,3.7071261405944824
rel_perf_24h,3.6956498622894287
ichi_above_cloud,3.6683104038238525
dist_rolling_vwap,3.619175910949707
pct_dist_to_resistance,3.574082612991333
ema_stack_distance,3.567505359649658
price_zscore_200,3.5652167797088623
returns_1h_decay_mean_24,3.556333065032959
elder_bear,3.5077037811279297
volatility_ratio,3.4805400371551514
dist_s2,3.4783501625061035
obv_divergence,3.4554758071899414
parkinson_vol,3.4188148975372314
btc_ratio_ma_dist,3.3971669673919678
dist_avwap_100,3.3786497116088867
swing_strength_20,3.337327241897583
rsi_14,3.311087131500244
fib_dist_236,3.3108038902282715
rsi_21,3.29632568359375
dist_s1,3.2883105278015137
dist_bull_ob,3.2841036319732666
obv,3.239743947982788
