feature,gain
prc_total,116.03861999511719
macro_confluence_score,76.06483459472656
prc_momentum,39.52552032470703
efficiency_ratio_10,25.86216926574707
prc_bands,14.153179168701172
atr_band_position,12.695513725280762
macd,9.44189739227295
prc_trend,9.37002182006836
ret_24h,8.825501441955566
dist_r1,8.607015609741211
prc_volume,8.172673225402832
stoch_slope,7.75098180770874
btc_dist_ema200,7.745668888092041
funding_rate_zscore,7.738306999206543
supertrend_dist,7.521609306335449
btc_ratio_ma_dist,7.4730377197265625
pvt,7.465865612030029
bb_width_percentile,7.299455642700195
macd_signal,7.165574550628662
dist_ema_200,7.079834938049316
fib_range_pct,7.048285961151123
stoch_k,7.01779317855835
adx_14,6.807004451751709
btc_corr_24h,6.72472620010376
smart_money_confluence,6.623062610626221
ultimate_osc,6.618325233459473
dist_s1,6.597647190093994
pct_dist_to_resistance,6.589888095855713
starc_position,6.580029010772705
hurst,6.538580894470215
rel_perf_1h,6.460925102233887
price_zscore_200,6.458346366882324
volatility_ratio,6.425144672393799
dow_cos,6.37457275390625
entropy,6.362301349639893
gaussian_position,6.26054573059082
candle_pressure,6.207338333129883
macd_hist,6.162113189697266
rel_perf_24h,6.155144691467285
rsi_21,6.1436920166015625
parkinson_vol,6.124406337738037
rel_perf_4h,6.106500625610352
dist_s2,6.102372646331787
dist_r2,6.091789245605469
swing_strength_20,6.050954341888428
dist_bull_ob,6.044848918914795
rvi_vol,5.968925476074219
lower_low_count_20,5.963831901550293
choppiness,5.9556145668029785
funding_cum_8,5.9257025718688965
