feature,gain
prc_total,27.396400451660156
macro_confluence_score,26.130077362060547
starc_position,13.067740440368652
regime_high_vol,12.745834350585938
prc_momentum,9.801839828491211
bb_pct_b,8.866543769836426
atr_band_position,7.0125322341918945
prc_trend,6.6053972244262695
rvi_osc,6.6051859855651855
is_at_support,5.777483940124512
volatility_regime,5.742121696472168
ema_alignment,5.58712100982666
cmo_14,5.236764430999756
rsi_14,5.147806167602539
dist_vwap,5.001623153686523
market_regime_code,4.55277156829834
is_at_resistance,4.530791759490967
sar_trend,4.468838214874268
supertrend_dist,4.421285629272461
bb_width_percentile,4.2890625
supertrend_dir,4.157756328582764
pct_dist_to_support,4.152512550354004
ichi_above_cloud,4.0082221031188965
dist_rolling_vwap,4.001290321350098
ret_12h,3.897043466567993
ichi_dist_cloud_top,3.821932554244995
volume,3.720783233642578
atr_percentile,3.565260887145996
fib_dist_382,3.5434365272521973
volatility_ratio,3.5131583213806152
volatility_skew,3.446746587753296
rsi_7,3.44600772857666
volume_confluence,3.4186084270477295
rsi_slope_14,3.3564069271087646
atr_pct,3.309361219406128
rolling_buy_ratio,3.3050293922424316
price_zscore_200,3.2795398235321045
bands_confluence,3.2792060375213623
keltner_width,3.25585675239563
close_delta_12,3.255157232284546
force_index,3.250256299972534
fib_dist_236,3.2331364154815674
ema_slope_100,3.2274184226989746
ema_slope_9,3.2218258380889893
fib_dist_500,3.211008071899414
schaff_tc,3.19419002532959
dist_bull_ob,3.1502740383148193
parkinson_vol,3.1117656230926514
dist_avwap_100,3.0721282958984375
dist_ema_9,3.0677993297576904
