feature,gain
macro_confluence_score,80.1649398803711
prc_total,62.55325698852539
efficiency_ratio_10,26.0047664642334
prc_momentum,25.14462661743164
prc_trend,11.739191055297852
dist_ema_100,7.712186813354492
dist_ema_200,7.537903308868408
btc_dist_ema200,7.512019634246826
donchian_position,7.468471527099609
atr_band_position,7.103567600250244
hurst,7.045975208282471
btc_corr_24h,6.906249523162842
supertrend_dist,6.881723403930664
fib_dist_618,6.8724870681762695
price_zscore_200,6.855785846710205
ichi_dist_cloud_top,6.767807483673096
dist_r2,6.756134033203125
rel_perf_24h,6.66878604888916
prc_bands,6.668620586395264
pct_dist_to_support,6.647392272949219
aroon_up,6.597504138946533
dist_avwap_200,6.579998970031738
kst_signal,6.575401782989502
rolling_volatility,6.5740065574646
price_disp_atr_pct,6.541583061218262
dist_r1,6.522077560424805
ultimate_osc,6.4828619956970215
funding_cum_8,6.46112060546875
dist_bear_ob,6.456911563873291
funding_rate_zscore,6.454219341278076
dow_cos,6.438143253326416
sqz_momentum,6.429924488067627
fib_range_pct,6.426277160644531
pvt,6.377752304077148
parkinson_vol,6.359911918640137
prc_volume,6.292537212371826
candle_pressure,6.290627956390381
ema_stack_distance,6.28834867477417
dist_bull_ob,6.2544450759887695
vol_confirm_ratio,6.172217845916748
trend_consistency_20,6.149248123168945
atr_expansion,6.117157459259033
volatility_regime,5.926067352294922
rsi_14,5.90648078918457
vol_velocity,5.869750022888184
relative_volume,5.8073883056640625
fib_dist_382,5.77506685256958
volatility_skew,5.75761604309082
volatility_kurt,5.714578151702881
lower_low_count_20,5.591970920562744
