feature,gain
macro_confluence_score,108.77011108398438
prc_total,98.61505126953125
efficiency_ratio_10,28.770854949951172
prc_trend,18.50040626525879
starc_position,17.91819953918457
atr_band_position,11.858674049377441
rsi_acceleration_14,11.057014465332031
prc_smart_money,9.966225624084473
rel_perf_24h,9.702458381652832
aroon_osc,9.490087509155273
williams_r,9.4812593460083
prc_bands,8.781164169311523
macd_hist,8.731108665466309
sar_dist,8.701438903808594
btc_dist_ema200,8.525774002075195
swing_strength_20,8.455477714538574
dist_bull_ob,8.224739074707031
bb_width_percentile,8.162796020507812
prc_volume,8.112251281738281
cci_20,8.104347229003906
funding_cum_8,8.041242599487305
pct_dist_to_resistance,8.039057731628418
cmf_20,7.9573540687561035
price_zscore_200,7.9073896408081055
macd,7.904031753540039
rsi_21,7.717541694641113
fib_range_pct,7.708027362823486
ret_24h,7.652703285217285
rsi_7,7.644634246826172
candle_pressure,7.605818748474121
rolling_volatility,7.573040008544922
ichi_dist_cloud_top,7.556792736053467
fib_dist_236,7.4392266273498535
dist_vwap,7.301998138427734
atr_percentile,7.2147345542907715
bands_confluence,7.175575256347656
funding_slope_8,7.1730122566223145
ema_stack_distance,7.078919887542725
dist_s1,7.07123327255249
donchian_position,7.039974689483643
prc_momentum,7.016974925994873
btc_4h_return,7.013424873352051
keltner_width,6.99266242980957
btc_ratio_ma_dist,6.954634666442871
dist_ema_100,6.864333629608154
rvi_sig,6.8495283126831055
atr_expansion,6.847074031829834
dow_sin,6.8224968910217285
dist_s2,6.82056188583374
volatility_ratio,6.790713787078857
