feature,gain
prc_total,77.2955322265625
macro_confluence_score,71.12544250488281
prc_momentum,16.24478530883789
efficiency_ratio_10,11.920510292053223
ema_stack_alignment,8.171112060546875
dow_cos,5.6785807609558105
dist_pivot,4.9084696769714355
dist_s2,4.895607948303223
parkinson_vol,4.760761737823486
fib_dist_500,4.742481708526611
dow_sin,4.716368675231934
aroon_osc,4.657883644104004
prc_bands,4.53919792175293
fib_dist_382,4.528359889984131
funding_neutral,4.5128889083862305
rolling_volatility,4.4795637130737305
fib_dist_618,4.469855785369873
volatility_regime,4.455332279205322
rsi_slope_14,4.422482490539551
dist_bull_ob,4.411257743835449
macd_signal,4.328084945678711
volatility_ratio,4.316005706787109
pvt,4.307136058807373
atr_expansion,4.286105632781982
quantile_position,4.282212257385254
volatility_skew,4.26611328125
trix_15,4.246744155883789
dist_avwap_100,4.240304946899414
fib_dist_236,4.23792839050293
volatility_kurt,4.217692852020264
prc_trend,4.180080413818359
cmf_20,4.15418815612793
dist_ema_50,4.108858108520508
rolling_buy_ratio,4.107736110687256
price_disp_atr_pct,4.07973575592041
dist_avwap_200,4.078339576721191
fib_range_pct,4.065125942230225
funding_slope_8,4.033091068267822
atr_percentile,4.02487325668335
btc_dist_ema200,3.9528017044067383
price_zscore_200,3.8405871391296387
rel_perf_24h,3.8396267890930176
funding_rate_zscore,3.8309175968170166
dist_kama,3.8217477798461914
ultimate_osc,3.8194069862365723
hurst,3.8183586597442627
supertrend_dist,3.808180809020996
pct_dist_to_resistance,3.7430739402770996
funding_cum_8,3.7057039737701416
macd_hist,3.6760900020599365
