feature,gain
efficiency_ratio_10,37.36444854736328
atr_band_position,29.2841739654541
prc_total,29.245685577392578
macro_confluence_score,27.350521087646484
dist_rolling_vwap,11.93781566619873
starc_position,9.544902801513672
macd_divergence,8.129323959350586
volatility_regime,6.678443431854248
donchian_position,6.36920166015625
dist_vwap,5.8941450119018555
range_position_score,5.635567665100098
ema_9_21_cross,5.507539749145508
prc_trend,5.338291168212891
total_confluence,5.1114821434021
supertrend_dir,4.999828338623047
is_squeeze,4.618560791015625
close_delta_4,4.451776027679443
pct_dist_to_resistance,4.436028957366943
atr_percentile,4.35398006439209
prc_momentum,4.341627597808838
rvi_osc,4.290724277496338
linreg_slope_14,4.222536087036133
hurst,4.191589832305908
trend_confluence,4.099125862121582
btc_dist_ema200,4.072727680206299
dist_bear_ob,4.0440521240234375
gaussian_position,4.042521953582764
ppo,4.009687423706055
dpo_20,3.778323173522949
close_delta_12,3.7106566429138184
realized_volatility,3.6410789489746094
volatility_ratio,3.630237340927124
supertrend_dist,3.6156249046325684
awesome_osc,3.614287853240967
vwap_delta_4,3.585130453109741
kvo,3.550628423690796
dist_s1,3.536405324935913
rel_perf_24h,3.482154369354248
dist_ema_21,3.480687379837036
fib_dist_236,3.4586293697357178
macd_hist,3.4475438594818115
dist_ema_50,3.4465739727020264
rsi_14,3.440617799758911
ichi_above_cloud,3.411984920501709
obv,3.4053328037261963
dist_r2,3.367682695388794
ema_stack_distance,3.329057216644287
btc_ratio_ma_dist,3.3050537109375
rolling_volatility,3.2932419776916504
kvo_signal,3.281669855117798
