feature,gain
efficiency_ratio_10,43.5876350402832
prc_total,26.010480880737305
macro_confluence_score,25.365354537963867
prc_trend,18.14461898803711
atr_band_position,12.827242851257324
starc_position,11.633954048156738
ema_slope_9,10.809329986572266
prc_momentum,9.07101058959961
prc_bands,8.199926376342773
volatility_regime,8.198880195617676
rvi_osc,6.916934967041016
ret_12h,6.70947790145874
regime_high_vol,6.595157146453857
macd_hist,6.434659004211426
atr_pct,5.958912372589111
regime_low_vol,5.929245948791504
bands_confluence,5.923012733459473
market_regime_code,5.9063920974731445
roc_14,5.825113296508789
dist_rolling_vwap,5.699635982513428
linreg_slope_14,5.60113000869751
atr_percentile,5.522454261779785
vwap_delta_1,5.354765892028809
schaff_tc,5.266413688659668
vwap_delta_4,5.241748809814453
rolling_volatility,5.19007682800293
bb_pct_b,5.16447639465332
pct_dist_to_support,5.162917137145996
ichi_dist_tenkan,5.160484313964844
macd_divergence,5.149600505828857
ema_alignment,5.126266002655029
realized_volatility,5.069302082061768
bb_width_percentile,5.028807163238525
dist_ema_9,5.02778434753418
prc_volume,5.005449295043945
historical_volatility,4.99949836730957
trend_confluence,4.937316417694092
obv_slope_20,4.91016960144043
range_position_score,4.898247241973877
ret_24h,4.861507892608643
fib_range_pct,4.849673271179199
keltner_width,4.845128536224365
dist_ema_50,4.824504852294922
vwap_delta_12,4.822402000427246
donchian_position,4.815609455108643
dist_vwap,4.809477806091309
ema_slope_21,4.793474197387695
quantile_position,4.780364990234375
vwap_slope_24,4.774015426635742
elder_bull_bear,4.769313812255859
