feature,gain
macro_confluence_score,77.97423553466797
prc_total,64.08758544921875
efficiency_ratio_10,23.871593475341797
prc_trend,16.165603637695312
prc_momentum,10.49251651763916
dist_avwap_100,9.793989181518555
fib_dist_382,8.840439796447754
fib_dist_236,8.28560733795166
lower_low_count_20,8.115998268127441
dist_avwap_200,7.461267471313477
rolling_volatility,7.432693004608154
ema_alignment,7.224483966827393
volatility_ratio,7.165702819824219
btc_dist_ema200,7.101144313812256
fib_range_pct,7.001249313354492
obv,6.875589370727539
candle_pressure,6.804710388183594
volatility_regime,6.786852836608887
dist_s1,6.772855281829834
atr_percentile,6.6452226638793945
funding_rate_zscore,6.597633361816406
btc_ratio_ma_dist,6.59454870223999
macd_hist,6.458425998687744
pct_dist_to_support,6.458331108093262
price_disp_atr_pct,6.43413782119751
ichi_dist_cloud_top,6.4188127517700195
tsi,6.34884786605835
dist_r2,6.305845737457275
dist_ema_200,6.3054656982421875
vi_minus,6.3047590255737305
pvt,6.250034809112549
ret_24h,6.212940692901611
parkinson_vol,6.2087178230285645
dow_sin,6.207620620727539
price_zscore_200,6.178415775299072
stoch_k,6.162543773651123
bb_width_percentile,6.15374755859375
pct_dist_to_resistance,6.064577579498291
hurst,5.934847354888916
ema_stack_distance,5.932558059692383
atr_band_position,5.9251203536987305
prc_volume,5.919358253479004
dist_bull_ob,5.890460968017578
btc_corr_24h,5.8877034187316895
dist_bear_ob,5.857474327087402
rvi_vol,5.845522880554199
entropy,5.706262111663818
cmf_20,5.668992519378662
volatility_kurt,5.654953479766846
fib_dist_618,5.648859024047852
