feature,gain
prc_total,22.295759201049805
macro_confluence_score,22.07205581665039
atr_band_position,11.307226181030273
starc_position,9.495984077453613
rvi_osc,4.37354850769043
atr_percentile,3.804677724838257
prc_momentum,3.706308364868164
sar_trend,3.612161874771118
volatility_regime,3.6098697185516357
bb_pct_b,3.4430954456329346
regime_high_vol,3.3840503692626953
rsi_14,3.160306692123413
cci_20,3.1186931133270264
cmo_14,3.0690114498138428
ema_slope_21,2.9920670986175537
total_confluence,2.820263147354126
linreg_slope_14,2.7790443897247314
rsi_slope_14,2.7712135314941406
schaff_tc,2.6064305305480957
volatility_skew,2.6023736000061035
aroon_up,2.588789463043213
higher_high_count_20,2.546841621398926
ema_alignment,2.54260516166687
dist_kama,2.517477035522461
elder_bull_bear,2.5104551315307617
swing_strength_20,2.489440441131592
volatility_ratio,2.4805829524993896
dist_ema_50,2.440788507461548
lower_low_count_20,2.4226441383361816
dist_ema_21,2.359755039215088
dist_rolling_vwap,2.3420774936676025
fib_dist_236,2.2377431392669678
sqz_momentum,2.2158594131469727
btc_corr_24h,2.2032718658447266
donchian_position,2.180818796157837
dist_avwap_100,2.169158697128296
kvo,2.141399621963501
rvi_sig,2.1269819736480713
parkinson_vol,2.1265666484832764
bb_width_percentile,2.125312328338623
dist_pivot,2.120554208755493
atr_expansion,2.1160621643066406
ppo,2.1123671531677246
btc_ratio_ma_dist,2.103630781173706
ema_9_21_cross,2.0852646827697754
ret_12h,2.0824551582336426
dist_bull_ob,2.078073501586914
rsi_7,2.068601608276367
btc_dist_ema200,2.0343992710113525
is_at_support,2.018731117248535
