feature,gain
prc_total,23.625999450683594
macro_confluence_score,20.175006866455078
regime_high_vol,15.311042785644531
atr_band_position,9.57140827178955
starc_position,8.692277908325195
momentum_confluence,8.226180076599121
bb_pct_b,5.9935760498046875
volatility_regime,5.647029876708984
prc_trend,5.264448165893555
total_confluence,5.253437519073486
rvi_osc,5.0359673500061035
bands_confluence,5.019116401672363
dist_rolling_vwap,4.233954906463623
obv_divergence,4.101434707641602
is_squeeze,3.990107297897339
ema_slope_9,3.85686993598938
ichi_above_cloud,3.6827757358551025
donchian_position,3.667339563369751
dist_vwap,3.653703212738037
ema_alignment,3.5333092212677
atr_percentile,3.4893088340759277
fib_dist_382,3.4777257442474365
regime_low_vol,3.387566566467285
ret_12h,3.336305856704712
supertrend_dir,3.3044700622558594
elder_bull,3.289454221725464
cmo_14,3.280836343765259
prc_momentum,3.0826833248138428
btc_dist_ema200,3.023362874984741
fib_dist_236,2.9714841842651367
is_at_resistance,2.9683005809783936
keltner_width,2.8890867233276367
volatility_ratio,2.888947010040283
atr_pct,2.8571760654449463
obv,2.822124481201172
ema_slope_50,2.7612922191619873
williams_r,2.720705270767212
pvt,2.718104839324951
quantile_position,2.713115930557251
prc_bands,2.662827491760254
trix_15,2.627946138381958
schaff_tc,2.5846779346466064
fib_dist_618,2.5827109813690186
price_zscore_200,2.574812889099121
parkinson_vol,2.56663179397583
bb_width_percentile,2.5306167602539062
dist_pivot,2.5197577476501465
higher_high_count_20,2.5141022205352783
atr_expansion,2.4791462421417236
stoch_k,2.474242925643921
