feature,gain
efficiency_ratio_10,62.07029342651367
atr_band_position,54.329959869384766
starc_position,44.020904541015625
macro_confluence_score,38.22801208496094
prc_total,31.36147117614746
rsi_14,19.685726165771484
dist_vwap,18.614213943481445
total_confluence,16.28550148010254
linreg_slope_14,11.827472686767578
volatility_regime,10.368622779846191
prc_momentum,9.060009956359863
aroon_up,8.885697364807129
regime_high_vol,8.635927200317383
dist_rolling_vwap,8.11465072631836
kvo_signal,7.64089298248291
dist_s2,7.563346862792969
dist_avwap_50,6.9327192306518555
prc_trend,6.660964488983154
choppiness,6.6223368644714355
fib_dist_618,6.44262170791626
atr_percentile,6.3933210372924805
aroon_osc,6.351089000701904
pct_dist_to_support,6.315794944763184
bands_confluence,6.199667930603027
dist_s1,6.15767765045166
atr_pct,6.108638763427734
macd_hist,6.000556945800781
volatility_ratio,5.846589088439941
pct_dist_to_resistance,5.7618255615234375
smart_money_confluence,5.655431747436523
dist_bull_ob,5.600155353546143
fib_dist_500,5.577284812927246
swing_strength_20,5.459970951080322
returns_1h_decay_mean_24,5.365197658538818
bb_width_percentile,5.351850986480713
btc_dist_ema200,5.289159297943115
range_position_score,5.287909984588623
cci_20,5.22774600982666
elder_bear,5.211142539978027
elder_bull,5.199949264526367
historical_volatility,5.1950507164001465
ichi_dist_cloud_top,5.190273284912109
ichi_dist_tenkan,5.174094200134277
realized_volatility,5.169877529144287
aroon_down,5.10795259475708
ichi_above_cloud,5.10513973236084
supertrend_dist,5.074974060058594
obv_divergence,5.061384677886963
dist_ema_21,5.039795398712158
dpo_20,5.0181169509887695
