feature,gain
total_confluence,41.59402847290039
macro_confluence_score,34.12843322753906
prc_total,33.23390579223633
starc_position,12.418333053588867
atr_band_position,11.194171905517578
cci_20,9.975615501403809
rvi_osc,9.06011962890625
bb_pct_b,8.919081687927246
volatility_regime,8.754603385925293
prc_trend,8.653220176696777
dist_rolling_vwap,8.59526252746582
dist_vwap,8.28691577911377
elder_bull,6.771827220916748
rolling_buy_ratio,6.10385799407959
ema_slope_9,6.016108512878418
gaussian_position,5.975174903869629
dist_avwap_100,5.961997032165527
linreg_slope_14,5.898603439331055
supertrend_dir,5.715573787689209
supertrend_dist,5.705901145935059
kst,5.569796562194824
macd_hist,5.518352508544922
btc_dist_ema200,5.5159993171691895
macd_divergence,5.440541744232178
atr_pct,5.324581623077393
kvo,5.296009063720703
market_phase,5.2703471183776855
donchian_position,5.269432544708252
lower_low_count_20,5.26735258102417
atr_percentile,5.210859775543213
momentum_confluence,5.210579872131348
dist_ema_9,5.166813850402832
pct_dist_to_support,5.146753311157227
cmo_14,5.128240585327148
prc_momentum,5.105803489685059
atr_expansion,5.034532070159912
dist_s2,4.953640460968018
obv,4.9375834465026855
ema_alignment,4.905855655670166
keltner_width,4.874622821807861
ichi_dist_kijun,4.808372974395752
dist_bear_ob,4.78875732421875
volatility_ratio,4.714243412017822
close_decay_mean_24,4.670499324798584
fib_dist_500,4.670134544372559
btc_ratio_ma_dist,4.660565376281738
tsi,4.648583889007568
rsi_slope_14,4.563619613647461
parkinson_vol,4.560958385467529
macd,4.480253219604492
