feature,gain
macro_confluence_score,29.362232208251953
prc_total,20.82027816772461
starc_position,14.049620628356934
elder_bull_bear,12.160998344421387
atr_band_position,11.895506858825684
prc_momentum,10.759525299072266
close_delta_12,6.8265485763549805
rvi_osc,6.624387264251709
atr_pct,6.318508625030518
volatility_regime,6.182976245880127
dist_vwap,6.099522113800049
ret_12h,5.547374725341797
dist_pivot,5.428925514221191
prc_trend,5.243411064147949
volatility_ratio,5.217350959777832
ichi_above_cloud,5.206643581390381
total_confluence,4.854247093200684
ichi_dist_kijun,4.632879257202148
bb_width_percentile,4.624082565307617
ema_slope_9,4.58561372756958
dist_r1,4.49838399887085
vwap_delta_12,4.473044395446777
ichi_dist_cloud_top,4.432303428649902
bands_confluence,4.41888427734375
bos_down,4.346776962280273
tsi,4.27419376373291
returns_1h_decay_mean_24,4.215611457824707
rsi_7,4.209841728210449
donchian_position,4.193441390991211
quantile_position,4.188176155090332
pct_dist_to_support,4.143298149108887
roc_14,4.1062421798706055
dist_s1,4.103416919708252
range_position_score,4.091954231262207
dist_ema_21,4.054577350616455
dist_rolling_vwap,3.936692953109741
parkinson_vol,3.9042630195617676
close_decay_mean_24,3.896951913833618
fib_dist_236,3.850843667984009
rvi_sig,3.808878183364868
dist_ema_9,3.761833429336548
ppo,3.759838819503784
dist_r2,3.719341993331909
atr_expansion,3.706559419631958
rsi_slope_14,3.7036120891571045
dist_bull_ob,3.697951555252075
vwap_slope_24,3.6630756855010986
dist_ema_50,3.630964517593384
keltner_width,3.6214756965637207
dist_ema_100,3.6162197589874268
