feature,gain
efficiency_ratio_10,38.722755432128906
macro_confluence_score,28.21881103515625
prc_total,26.571928024291992
starc_position,9.575754165649414
atr_band_position,7.022932052612305
volatility_regime,6.491461277008057
prc_momentum,6.404726028442383
atr_14,5.283226490020752
regime_high_vol,4.720797538757324
ppo,4.6336989402771
dist_ema_21,4.601661205291748
ema_slope_21,4.433350086212158
bb_pct_b,4.36117696762085
ichi_dist_cloud_top,4.220877170562744
linreg_slope_14,4.07777214050293
prc_trend,4.037107467651367
kvo_signal,3.9819982051849365
btc_dist_ema200,3.922037363052368
parkinson_vol,3.8985936641693115
macd,3.780017614364624
sar_dist,3.772181987762451
obv_divergence,3.713392972946167
sqz_momentum,3.612872838973999
cmo_14,3.607166051864624
stoch_k,3.5677309036254883
elder_bull_bear,3.5628552436828613
keltner_width,3.495450258255005
dist_bull_ob,3.4559977054595947
price_zscore_200,3.3945651054382324
bb_width_percentile,3.3756892681121826
rvi_osc,3.3425846099853516
total_confluence,3.3268885612487793
rsi_14,3.3268258571624756
linreg_r2_14,3.3108036518096924
ema_slope_50,3.3045778274536133
atr_percentile,3.228187084197998
macd_hist,3.218945264816284
cmf_20,3.213458776473999
close_decay_mean_24,3.201914072036743
ema_alignment,3.175274133682251
market_regime_code,3.1733503341674805
cci_20,3.1532113552093506
rsi_slope_14,3.1338515281677246
volatility_ratio,3.1216561794281006
dist_ema_50,3.1070964336395264
pct_dist_to_resistance,3.095275640487671
ichi_dist_kijun,3.090958595275879
ret_4h,3.075681209564209
ichi_dist_tenkan,3.0606000423431396
stoch_d,3.060105323791504
