feature,gain
prc_total,34.20649337768555
macro_confluence_score,31.289047241210938
starc_position,18.170408248901367
williams_r,11.080893516540527
atr_band_position,9.768610954284668
dist_rolling_vwap,8.596035957336426
rvi_osc,8.241591453552246
ret_12h,6.943002223968506
is_at_resistance,6.516925811767578
bos_state,5.973419189453125
realized_volatility,5.771326065063477
regime_high_vol,5.006171703338623
prc_trend,4.9195733070373535
ema_stack_alignment,4.651290416717529
rsi_14,4.367588520050049
prc_momentum,4.3311686515808105
fib_range_pct,4.147796630859375
elder_bull,4.120862007141113
rolling_volatility,4.051083087921143
atr_percentile,4.025542259216309
bb_pct_b,3.9279115200042725
price_zscore_200,3.9137537479400635
cci_20,3.8650171756744385
dist_ema_21,3.8323073387145996
btc_dist_ema200,3.801626443862915
volatility_regime,3.7992055416107178
ema_slope_21,3.765852928161621
smart_money_confluence,3.4678633213043213
ichi_dist_tenkan,3.4470040798187256
ema_slope_9,3.437465190887451
dist_bear_ob,3.411738872528076
ichi_dist_cloud_top,3.405125617980957
bb_width_percentile,3.3937878608703613
trend_confluence,3.387394666671753
volatility_ratio,3.3738415241241455
fib_dist_500,3.3578054904937744
fib_dist_618,3.3302860260009766
dist_r2,3.3135430812835693
donchian_position,3.298692464828491
historical_volatility,3.273183822631836
keltner_width,3.241755723953247
close_decay_mean_24,3.241344451904297
dist_avwap_50,3.2362639904022217
dist_ema_9,3.2295026779174805
kvo,3.224107503890991
dist_ema_50,3.2136917114257812
dist_bull_ob,3.206395149230957
cmo_14,3.1928155422210693
vi_minus,3.173213243484497
trix_15,3.1575543880462646
