feature,gain
macro_confluence_score,19.621004104614258
prc_total,16.748401641845703
atr_band_position,9.047331809997559
starc_position,7.842208385467529
rvi_osc,4.824314117431641
prc_momentum,4.660307884216309
volatility_regime,3.999983549118042
ema_slope_21,3.8145720958709717
bb_pct_b,3.7584314346313477
bands_confluence,3.4891724586486816
atr_percentile,3.3407866954803467
linreg_slope_14,3.2171568870544434
higher_high_count_20,3.1662425994873047
macd_divergence,2.9989335536956787
prc_trend,2.9885010719299316
momentum_confluence,2.943026304244995
macd_hist,2.9030511379241943
ichi_dist_kijun,2.680373430252075
ppo,2.656554937362671
rsi_14,2.6156294345855713
dist_vwap,2.5877723693847656
close_delta_12,2.571873903274536
dist_ema_50,2.527705192565918
macd,2.5143556594848633
rsi_slope_14,2.5057244300842285
cmo_14,2.4956815242767334
williams_r,2.4618630409240723
se_position,2.4572622776031494
choppiness,2.431962728500366
dist_ema_9,2.411243438720703
aroon_osc,2.365032196044922
awesome_osc,2.3594865798950195
pvt,2.3436760902404785
sar_dist,2.323620080947876
dist_rolling_vwap,2.303205966949463
ichi_dist_cloud_top,2.2938826084136963
sqz_momentum,2.2842812538146973
volatility_ratio,2.237791061401367
quantile_position,2.2199065685272217
tsi,2.2149810791015625
close_delta_1,2.2116966247558594
returns_1h,2.1752212047576904
prc_bands,2.1576950550079346
sar_trend,2.1435317993164062
ema_slope_9,2.1109976768493652
elder_bear,2.1006555557250977
atr_14,2.0940449237823486
schaff_tc,2.0893096923828125
vi_plus,2.087841510772705
ichi_dist_tenkan,2.0850040912628174
