feature,gain
prc_total,23.030216217041016
macro_confluence_score,20.382673263549805
starc_position,9.399904251098633
elder_bull,8.933548927307129
bb_pct_b,7.627444267272949
elder_bull_bear,7.258233070373535
atr_band_position,6.350244045257568
volatility_regime,5.327343940734863
sar_trend,5.03804874420166
prc_trend,4.8119730949401855
atr_percentile,4.7416558265686035
ret_12h,4.478679656982422
rvi_osc,4.3011579513549805
williams_r,4.296674728393555
cci_20,4.247772216796875
ema_slope_50,4.110973358154297
rsi_14,3.985469102859497
prc_momentum,3.82753586769104
historical_volatility,3.771658182144165
kvo_signal,3.6277222633361816
regime_high_vol,3.550039768218994
ema_9_21_cross,3.4266741275787354
momentum_confluence,3.3938851356506348
btc_ratio_ma_dist,3.356762409210205
aroon_up,3.3472700119018555
volatility_ratio,3.260192632675171
rsi_7,3.1990203857421875
realized_volatility,3.1817984580993652
dist_pivot,3.1709346771240234
ema_alignment,3.1393091678619385
kvo,3.119964122772217
dist_ema_50,3.0717272758483887
bb_width_percentile,3.024960994720459
atr_pct,2.9777002334594727
rsi_slope_14,2.972053050994873
ichi_above_cloud,2.962158441543579
dist_ema_21,2.923994779586792
rolling_volatility,2.9165258407592773
cmo_14,2.915025472640991
ema_stack_distance,2.912423849105835
vwap_delta_4,2.9083192348480225
dist_kama,2.8979315757751465
atr_expansion,2.8549208641052246
roc_14,2.8294942378997803
obv,2.8189213275909424
ema_slope_9,2.818260669708252
stoch_k,2.774406671524048
obv_slope_20,2.72986102104187
choppiness,2.7150139808654785
linreg_r2_14,2.7083940505981445
