feature,gain
macro_confluence_score,70.86189270019531
prc_total,47.81018829345703
prc_trend,20.474716186523438
efficiency_ratio_10,19.135278701782227
btc_ratio_ma_dist,7.479720115661621
dist_avwap_100,7.251443862915039
aroon_up,7.250603675842285
prc_momentum,7.2324442863464355
ppo,6.601146221160889
dist_s2,6.518194675445557
sqz_momentum,6.471445560455322
ppo_signal,6.401437282562256
btc_dist_ema200,6.366029262542725
funding_cum_8,6.317207336425781
ret_24h,6.252245903015137
sar_dist,6.233395099639893
fib_dist_618,6.2052741050720215
funding_slope_8,6.152097225189209
aroon_osc,6.068583011627197
dist_kama,6.038496017456055
dist_ema_200,6.0370988845825195
fib_range_pct,6.010575771331787
dist_ema_21,6.00942850112915
macd_signal,5.963111400604248
quantile_position,5.958518028259277
dist_pivot,5.9089250564575195
supertrend_dist,5.828096866607666
vi_minus,5.794436931610107
kst,5.783233642578125
returns_4h,5.7797112464904785
dist_ema_100,5.738513469696045
ichi_dist_tenkan,5.710327625274658
vol_confirm_ratio,5.63802433013916
prc_bands,5.6343674659729
obv,5.623737812042236
volatility_regime,5.619884014129639
dow_cos,5.618083477020264
fib_dist_236,5.609162330627441
dist_avwap_200,5.599247455596924
elder_bear,5.596218109130859
choppiness,5.560615539550781
gaussian_position,5.547814846038818
pvt,5.546908855438232
price_zscore_200,5.5185866355896
parkinson_vol,5.505337238311768
stoch_d,5.460646629333496
macd_hist,5.4440083503723145
candle_pressure,5.443721294403076
hurst,5.394248962402344
prc_volume,5.378260612487793
