feature,gain
macro_confluence_score,27.74835205078125
prc_total,25.455400466918945
starc_position,13.377820014953613
atr_band_position,8.662507057189941
ema_slope_21,6.437345027923584
rvi_osc,5.758917808532715
prc_trend,5.446509838104248
regime_range,5.017576694488525
linreg_slope_14,4.980688095092773
sar_trend,4.7078070640563965
price_zscore_200,4.684560775756836
kvo,4.326112270355225
bb_pct_b,4.132193088531494
obv,4.0875959396362305
prc_momentum,4.025027751922607
supertrend_dir,3.859567165374756
williams_r,3.7877895832061768
macd_hist,3.7411441802978516
macd_divergence,3.681438684463501
dist_ema_9,3.573002815246582
volatility_regime,3.5469882488250732
supertrend_dist,3.53639817237854
ichi_dist_cloud_top,3.499401092529297
regime_high_vol,3.4801125526428223
volatility_ratio,3.458996534347534
dist_s1,3.4336962699890137
bb_width_percentile,3.405686616897583
cci_20,3.4018263816833496
ema_alignment,3.3177192211151123
dist_bull_ob,3.30747389793396
atr_percentile,3.281623125076294
rsi_14,3.2649810314178467
ema_slope_100,3.2633635997772217
dist_s2,3.257009506225586
bands_confluence,3.2553303241729736
market_phase,3.2424380779266357
prc_volume,3.2241008281707764
dist_avwap_100,3.219855308532715
keltner_width,3.2015340328216553
fib_dist_236,3.1737048625946045
ema_stack_distance,3.1533286571502686
ret_24h,3.110823392868042
adx_14,3.0980610847473145
aroon_down,3.080526113510132
ema_slope_9,3.0791895389556885
close_decay_mean_24,3.0787296295166016
close_delta_12,3.0733447074890137
schaff_tc,3.063802480697632
btc_dist_ema200,3.0602946281433105
quantile_position,3.0579752922058105
