feature,gain
macro_confluence_score,85.2022933959961
prc_total,84.63688659667969
efficiency_ratio_10,22.428787231445312
prc_momentum,9.775012969970703
rolling_buy_ratio,6.863605976104736
macd_signal,6.684786319732666
ppo,6.47711706161499
dist_avwap_200,6.3521881103515625
pvt,6.324991703033447
pct_dist_to_support,5.948376178741455
starc_position,5.808732986450195
volatility_skew,5.800327777862549
macd_hist,5.786102294921875
obv,5.758962631225586
dist_r2,5.642354488372803
adx_14,5.6365227699279785
price_zscore_200,5.408387184143066
atr_percentile,5.38132381439209
dist_s1,5.373098850250244
rel_perf_24h,5.325357437133789
bb_width_percentile,5.259063243865967
hour_sin,5.235271453857422
fib_dist_500,5.195926189422607
sqz_momentum,5.164201736450195
donchian_position,5.141623020172119
atr_pct,5.130402088165283
ichi_dist_cloud_top,5.103957176208496
dist_ema_200,5.095127105712891
atr_band_position,5.072831630706787
dist_bear_ob,5.0621562004089355
swing_strength_20,5.020957946777344
dist_ema_100,5.00942850112915
choppiness,4.987493515014648
dist_s2,4.976956367492676
volatility_ratio,4.9476141929626465
hurst,4.929800987243652
dist_kama,4.910665512084961
parkinson_vol,4.894581317901611
williams_r,4.868255138397217
aroon_down,4.868137836456299
rolling_volatility,4.8659586906433105
prc_smart_money,4.862843036651611
ichi_dist_kijun,4.8446502685546875
volatility_regime,4.784708023071289
btc_corr_24h,4.734200954437256
ema_stack_distance,4.70448637008667
fisher,4.679150104522705
funding_rate_zscore,4.671273708343506
price_disp_atr_pct,4.6708784103393555
funding_slope_8,4.631178379058838
