feature,gain
efficiency_ratio_10,32.32464599609375
prc_total,27.553050994873047
macro_confluence_score,25.518606185913086
atr_band_position,9.493684768676758
prc_trend,9.49217414855957
is_squeeze,6.571451663970947
is_at_support,6.564456462860107
volatility_regime,5.692455768585205
rvi_osc,4.805898189544678
historical_volatility,4.662496089935303
atr_percentile,4.438535213470459
atr_pct,4.417330265045166
prc_bands,4.106892108917236
realized_volatility,4.064037799835205
close_decay_mean_24,4.039762496948242
donchian_position,3.993572235107422
starc_position,3.982377529144287
market_regime_code,3.9653420448303223
prc_momentum,3.9634151458740234
obv_divergence,3.943366765975952
ema_stack_distance,3.825953722000122
dist_rolling_vwap,3.8254265785217285
dist_r1,3.7733473777770996
dow_sin,3.768101692199707
atr_expansion,3.720811128616333
btc_dist_ema200,3.714395046234131
dist_avwap_100,3.689429759979248
ret_24h,3.685230016708374
dist_avwap_50,3.6675281524658203
btc_corr_24h,3.6608774662017822
cmo_14,3.6266677379608154
dist_kama,3.613821029663086
dist_ema_50,3.602874279022217
volatility_ratio,3.5549721717834473
pct_dist_to_resistance,3.491953134536743
obv,3.4399359226226807
market_phase,3.434041738510132
dist_bear_ob,3.4034132957458496
quantile_position,3.394507884979248
rolling_volatility,3.3697266578674316
parkinson_vol,3.3691627979278564
dist_bull_ob,3.3063673973083496
kvo_signal,3.2846672534942627
ichi_dist_cloud_top,3.2695865631103516
supertrend_dist,3.2471656799316406
pvt,3.2068374156951904
gaussian_position,3.204303503036499
sqz_momentum,3.1767711639404297
bb_pct_b,3.1751904487609863
btc_ratio_ma_dist,3.1750845909118652
