feature,gain
prc_total,58.20123291015625
macro_confluence_score,54.101524353027344
starc_position,25.162755966186523
atr_band_position,22.481966018676758
prc_trend,16.85045051574707
elder_bull,14.846720695495605
bb_pct_b,14.60676097869873
prc_momentum,13.648941993713379
adx_14,13.113799095153809
regime_high_vol,10.952129364013672
volume_confluence,10.309484481811523
elder_bull_bear,10.052348136901855
supertrend_dir,10.004945755004883
prc_bands,9.890908241271973
total_confluence,9.621933937072754
volatility_regime,8.809565544128418
ret_12h,8.770095825195312
volatility_ratio,8.311245918273926
ichi_above_cloud,8.252632141113281
is_at_resistance,8.107504844665527
ema_slope_21,7.78155517578125
rvi_osc,7.752947807312012
pvt,7.574760913848877
lower_low_count_20,7.26455545425415
cmf_20,7.130920886993408
keltner_width,7.0980353355407715
bands_confluence,7.070252418518066
sar_trend,7.0333404541015625
regime_low_vol,6.927715301513672
is_at_support,6.900446891784668
dist_rolling_vwap,6.900219917297363
ichi_dist_cloud_top,6.899274826049805
vwap_delta_4,6.7730207443237305
vi_minus,6.599831581115723
donchian_position,6.584457874298096
swing_strength_20,6.564144611358643
cci_20,6.46757173538208
cmo_14,6.392928600311279
ema_stack_distance,6.321868419647217
dist_ema_100,6.295005798339844
parkinson_vol,6.284295082092285
atr_percentile,6.161838054656982
prc_volume,6.1015777587890625
linreg_r2_14,6.092459201812744
range_position_score,6.053161144256592
rsi_14,6.051584243774414
close_decay_mean_24,6.044348239898682
dist_r1,6.033634662628174
dist_bull_ob,5.978734970092773
ema_slope_100,5.953729152679443
