feature,gain
efficiency_ratio_10,35.882442474365234
macro_confluence_score,25.212615966796875
prc_total,24.3887939453125
atr_band_position,18.40791130065918
starc_position,9.756314277648926
regime_high_vol,8.455322265625
market_regime_code,6.90566873550415
supertrend_dir,6.683419227600098
prc_trend,5.759512424468994
volatility_regime,5.612236499786377
bb_pct_b,5.5116286277771
regime_low_vol,5.369215965270996
prc_momentum,4.89129114151001
fisher,4.282042503356934
cmo_14,3.99232816696167
market_phase,3.947875738143921
rsi_14,3.851477861404419
aroon_up,3.841771364212036
donchian_position,3.74336838722229
ichi_above_cloud,3.637908935546875
rvi_osc,3.5938611030578613
pvt,3.5479609966278076
dist_bull_ob,3.5464375019073486
pct_dist_to_support,3.53826642036438
obv_slope_20,3.5299859046936035
atr_percentile,3.4878346920013428
kvo,3.467130184173584
se_position,3.4629428386688232
adx_14,3.45054030418396
volatility_ratio,3.4392518997192383
obv,3.418290615081787
elder_bull,3.3438949584960938
dist_pivot,3.267287254333496
ema_stack_alignment,3.234794855117798
schaff_tc,3.207451105117798
sar_trend,3.1831419467926025
ema_slope_21,3.1795644760131836
swing_strength_20,3.170884609222412
smart_money_confluence,3.1647541522979736
force_index,3.161998987197876
price_zscore_200,3.153743028640747
rsi_acceleration_14,3.145507335662842
btc_ratio_ma_dist,3.1042537689208984
dist_ema_50,3.09863543510437
supertrend_dist,3.0616302490234375
ultimate_osc,3.043990135192871
candle_pressure,3.0220272541046143
range_position_score,3.0060150623321533
vi_minus,3.001114845275879
cmf_20,2.991884708404541
