feature,gain
macro_confluence_score,90.85902404785156
prc_total,80.82852935791016
prc_trend,21.13889503479004
efficiency_ratio_10,20.324678421020508
prc_volume,11.747918128967285
sar_dist,11.43883228302002
fib_range_pct,10.51222038269043
btc_dist_ema200,10.307705879211426
fib_dist_500,9.479469299316406
rolling_volatility,9.472246170043945
dist_bear_ob,9.175885200500488
price_zscore_200,8.962148666381836
dist_bull_ob,8.916731834411621
dist_pivot,8.8607816696167
dist_avwap_200,8.84410572052002
dist_r2,8.663559913635254
pvt,8.597825050354004
ichi_dist_tenkan,8.529356002807617
fib_dist_618,8.440618515014648
funding_cum_8,8.38093376159668
dist_s2,8.320503234863281
dow_cos,8.253447532653809
dist_ema_200,8.24789047241211
dist_avwap_100,8.231573104858398
hurst,8.083507537841797
lower_low_count_20,7.950469970703125
entropy,7.777793884277344
fib_dist_236,7.7344889640808105
obv,7.706295490264893
realized_volatility,7.610682487487793
keltner_width,7.481195449829102
parkinson_vol,7.40911340713501
dow_sin,7.398159980773926
sqz_momentum,7.333511829376221
ema_stack_distance,7.195615291595459
ichi_dist_cloud_top,7.046950340270996
dist_s1,7.019096374511719
fib_dist_382,7.01248025894165
btc_corr_24h,6.978024959564209
supertrend_dist,6.796115398406982
aroon_osc,6.7513556480407715
trend_consistency_20,6.712172508239746
quantile_position,6.638207912445068
atr_pct,6.637098789215088
volatility_regime,6.616653919219971
macd_signal,6.494059085845947
volatility_ratio,6.449145317077637
atr_expansion,6.39838171005249
funding_rate_zscore,6.397209167480469
atr_percentile,6.307925224304199
