feature,gain
macro_confluence_score,76.26200866699219
prc_total,68.88346862792969
efficiency_ratio_10,19.347740173339844
prc_momentum,14.282669067382812
dist_avwap_100,7.505953311920166
prc_smart_money,6.986051082611084
prc_trend,6.3485307693481445
ichi_dist_tenkan,6.12150764465332
dist_ema_200,5.957161903381348
btc_dist_ema200,5.91890811920166
dist_ema_50,5.796842575073242
ret_24h,5.506536960601807
pvt,5.38631534576416
dow_cos,5.370203018188477
price_zscore_200,5.296169281005859
hurst,5.283079147338867
parkinson_vol,5.210481643676758
obv,5.136101245880127
atr_expansion,5.133350372314453
tsi,5.091141700744629
dist_avwap_200,5.082612037658691
rolling_volatility,5.081312656402588
volatility_regime,5.07060432434082
dist_s1,5.016882419586182
funding_rate_zscore,5.01167106628418
aroon_osc,4.97936487197876
dist_pivot,4.964347839355469
dist_bear_ob,4.933849334716797
returns_1h_delta_1,4.90014123916626
fib_range_pct,4.883748531341553
schaff_tc,4.852411270141602
fib_dist_618,4.82774019241333
ichi_dist_kijun,4.8219523429870605
ultimate_osc,4.818051338195801
btc_corr_24h,4.789050579071045
btc_ratio_ma_dist,4.783665657043457
choppiness,4.77927303314209
linreg_r2_14,4.748228549957275
fib_dist_236,4.7296013832092285
dist_r1,4.702098846435547
volatility_ratio,4.673840522766113
supertrend_dist,4.6179609298706055
higher_high_count_20,4.6083855628967285
starc_position,4.571799278259277
dist_kama,4.550090789794922
volatility_skew,4.5448689460754395
macd_hist,4.517406940460205
fib_dist_382,4.517270088195801
dist_vwap,4.458330154418945
volatility_kurt,4.456974029541016
