feature,gain
efficiency_ratio_10,44.8653564453125
macro_confluence_score,36.05095672607422
prc_total,34.10679244995117
starc_position,16.483261108398438
atr_band_position,12.752723693847656
prc_momentum,9.777270317077637
prc_trend,7.454037666320801
supertrend_dir,5.917537212371826
volatility_regime,5.773288726806641
linreg_slope_14,5.539708137512207
ichi_above_cloud,5.347907543182373
rvi_osc,5.3281683921813965
ichi_cloud_bull,5.288280487060547
kvo,4.986282825469971
is_squeeze,4.97419548034668
cci_20,4.957849979400635
dist_avwap_100,4.806216239929199
donchian_position,4.63385534286499
atr_percentile,4.600068092346191
trix_15,4.545750617980957
ichi_dist_kijun,4.518620014190674
regime_high_vol,4.408675670623779
btc_ratio_ma_dist,4.398677825927734
price_zscore_200,4.377106666564941
close_delta_12,4.257370471954346
returns_1h_decay_mean_24,4.251530170440674
ema_alignment,4.237467288970947
ppo,4.230221748352051
volatility_ratio,4.212109088897705
ppo_signal,4.135878086090088
mfi_14,4.118361473083496
sar_trend,4.035088062286377
ema_stack_alignment,3.9964730739593506
dist_vwap,3.9927806854248047
market_regime_code,3.990262031555176
atr_pct,3.9897823333740234
parkinson_vol,3.9399406909942627
obv,3.9374334812164307
dist_ema_100,3.9299118518829346
pvt,3.9279258251190186
ichi_dist_tenkan,3.9149041175842285
dist_avwap_50,3.9123482704162598
dist_bull_ob,3.8625059127807617
close_decay_mean_24,3.8454082012176514
rsi_14,3.81280255317688
dist_r1,3.810354709625244
supertrend_dist,3.8010950088500977
kvo_signal,3.799616575241089
aroon_down,3.7757270336151123
obv_slope_20,3.768399477005005
