feature,gain
macro_confluence_score,31.40842056274414
prc_total,31.381351470947266
starc_position,19.970937728881836
atr_band_position,15.363725662231445
momentum_confluence,13.396805763244629
rvi_osc,9.416426658630371
bb_pct_b,8.959239959716797
elder_bull_bear,8.37550163269043
market_phase,7.393511772155762
prc_momentum,6.943670749664307
linreg_slope_14,6.670795917510986
dist_ema_50,6.218675136566162
prc_trend,5.687130451202393
dist_avwap_50,5.602288722991943
volatility_regime,5.59769344329834
vi_minus,5.558128356933594
rsi_slope_14,5.5030412673950195
dist_ema_9,5.2641921043396
gaussian_position,5.2278828620910645
kvo,5.096946716308594
ichi_dist_tenkan,5.096498012542725
kvo_signal,5.047518730163574
ret_12h,5.00331974029541
atr_percentile,4.933747291564941
cmf_20,4.927900314331055
price_zscore_200,4.915987014770508
aroon_down,4.746730327606201
regime_low_vol,4.670685768127441
ema_slope_50,4.652451515197754
dist_rolling_vwap,4.614863395690918
parkinson_vol,4.607212066650391
macd_hist,4.58833122253418
rsi_14,4.562802314758301
fib_dist_382,4.551324844360352
cmo_14,4.50569486618042
tsi,4.499767303466797
ema_stack_distance,4.471033096313477
fib_dist_236,4.460545539855957
ppo_signal,4.448681354522705
pvt,4.445984363555908
fib_dist_500,4.436660289764404
dist_vwap,4.43502950668335
dist_pivot,4.412156581878662
close_decay_mean_24,4.399167060852051
trix_15,4.397712230682373
range_position_score,4.247178554534912
obv_slope_20,4.243858814239502
ema_slope_9,4.243589878082275
quantile_position,4.205687999725342
ema_50_200_cross,4.196911334991455
