feature,gain
prc_total,98.8171157836914
macro_confluence_score,60.25190353393555
efficiency_ratio_10,17.53289222717285
prc_momentum,11.948753356933594
dist_r2,8.830368041992188
hurst,8.721035957336426
btc_dist_ema200,8.140523910522461
parkinson_vol,8.000814437866211
elder_bull,8.000171661376953
quantile_position,7.579749584197998
pvt,7.206655025482178
ichi_dist_kijun,7.095623970031738
supertrend_dist,7.050757884979248
trend_consistency_20,7.04036808013916
funding_rate_zscore,7.025517463684082
dist_ema_200,6.9646196365356445
obv,6.878862380981445
fib_dist_382,6.79084587097168
dist_bull_ob,6.690326690673828
mfi_14,6.686642646789551
price_zscore_200,6.67984676361084
lower_low_count_20,6.675490856170654
dist_avwap_100,6.670146942138672
vol_confirm_ratio,6.644184589385986
ema_stack_distance,6.636459827423096
fib_dist_236,6.331067085266113
kst_signal,6.271205425262451
se_position,6.2661871910095215
aroon_osc,6.247925281524658
dist_bear_ob,6.174703121185303
volatility_ratio,6.173624515533447
volume_confluence,6.1602325439453125
volatility_kurt,6.093497276306152
rsi_7,6.058239936828613
macd_signal,6.005832672119141
volatility_regime,5.896229267120361
dist_s1,5.886763572692871
btc_ratio_ma_dist,5.811841011047363
fib_range_pct,5.774234771728516
stoch_k,5.745236873626709
prc_smart_money,5.731353282928467
macd_hist,5.707385540008545
volume_zscore,5.704831123352051
dist_r1,5.628009796142578
tsi,5.592925071716309
atr_expansion,5.559682846069336
dow_cos,5.5474748611450195
funding_slope_8,5.5127058029174805
dist_avwap_200,5.486358165740967
rolling_volatility,5.45526123046875
