feature,gain
prc_total,103.95068359375
macro_confluence_score,78.46044158935547
efficiency_ratio_10,21.960010528564453
prc_trend,18.132904052734375
volume_zscore,7.444131374359131
macd_hist,7.2474260330200195
price_zscore_200,7.005398273468018
dist_s2,6.971640110015869
aroon_down,6.949108600616455
swing_strength_20,6.797411918640137
dist_s1,6.742215156555176
ema_stack_distance,6.63585090637207
dist_ema_200,6.5419182777404785
volatility_skew,6.468602657318115
prc_momentum,6.330338478088379
hour_cos,6.313563823699951
hurst,6.286106109619141
aroon_osc,6.25667142868042
donchian_position,6.2309980392456055
total_confluence,6.198480129241943
dist_bull_ob,6.181672096252441
volatility_regime,6.168753147125244
dist_r1,6.1624040603637695
rsi_slope_14,6.117024898529053
dow_cos,6.114813327789307
cmf_20,6.105957508087158
dow_sin,6.086569309234619
vol_confirm_ratio,6.06922721862793
ultimate_osc,6.054637432098389
volatility_kurt,6.03867769241333
fib_dist_236,6.032473087310791
rolling_volatility,5.991731643676758
parkinson_vol,5.9724202156066895
dist_bear_ob,5.959108352661133
macd,5.958797931671143
sqz_momentum,5.943964004516602
dist_avwap_200,5.929685592651367
quantile_position,5.925551891326904
williams_r,5.916171073913574
pct_dist_to_resistance,5.8754096031188965
fib_dist_618,5.833454608917236
lower_low_count_20,5.795031547546387
close_delta_12,5.7499308586120605
entropy,5.68520450592041
funding_rate_zscore,5.669027805328369
se_position,5.668550968170166
btc_corr_24h,5.661953926086426
elder_bull,5.624682903289795
fib_dist_382,5.606612205505371
candle_pressure,5.5964179039001465
