feature,gain
macro_confluence_score,22.871416091918945
prc_total,21.036375045776367
starc_position,7.951474666595459
regime_high_vol,6.713186264038086
bos_up,6.026653289794922
rvi_osc,5.610616683959961
total_confluence,4.960812091827393
prc_momentum,4.937753677368164
atr_band_position,4.828075885772705
prc_trend,3.4915037155151367
ichi_above_cloud,3.4723663330078125
ema_slope_9,3.2866690158843994
volatility_regime,3.248636245727539
aroon_osc,3.207688331604004
dist_ema_9,3.035161018371582
bb_pct_b,3.0351245403289795
lower_low_count_20,3.0071732997894287
ema_alignment,2.9681527614593506
supertrend_dir,2.9376046657562256
rsi_14,2.9181509017944336
kvo_signal,2.8854947090148926
btc_corr_24h,2.835096597671509
volatility_ratio,2.829397201538086
volume_confluence,2.825005054473877
ema_50_200_cross,2.819113254547119
quantile_position,2.806199312210083
cmo_14,2.7815403938293457
macd_hist,2.765805721282959
williams_r,2.7517290115356445
sqz_momentum,2.7009754180908203
tsi,2.668020009994507
ret_4h,2.666701316833496
smart_money_confluence,2.6602416038513184
pct_dist_to_support,2.6576099395751953
ret_1h,2.6501879692077637
cci_20,2.6469006538391113
kvo,2.642155885696411
cmf_20,2.6310176849365234
btc_dist_ema200,2.619920015335083
ichi_dist_tenkan,2.5991859436035156
dist_bear_ob,2.5529472827911377
eom_14,2.5070455074310303
vwap_delta_4,2.4974825382232666
higher_high_count_20,2.497159481048584
regime_low_vol,2.464831829071045
momentum_confluence,2.4642174243927
macd_divergence,2.4638712406158447
volatility_skew,2.4618911743164062
bands_confluence,2.459400177001953
rsi_slope_14,2.457190990447998
