feature,gain
macro_confluence_score,73.67135620117188
prc_total,38.04930877685547
efficiency_ratio_10,25.31256675720215
ema_50_200_cross,8.04348087310791
price_zscore_200,6.836972236633301
ret_24h,6.71095609664917
dist_bear_ob,6.584389686584473
donchian_position,6.4795684814453125
dist_s2,6.428358554840088
rsi_slope_14,6.424230575561523
aroon_osc,6.383291721343994
dist_r2,6.195285320281982
aroon_up,6.161865234375
aroon_down,6.161155700683594
ichi_dist_kijun,6.139376640319824
keltner_width,6.129062175750732
rolling_volatility,6.108938217163086
parkinson_vol,6.08603572845459
entropy,6.063657283782959
cmf_20,6.050647258758545
dist_ema_50,6.025190353393555
atr_band_position,6.022261619567871
returns_1h_delta_1,5.99381160736084
bb_width_percentile,5.94945764541626
pvt,5.945271015167236
kst,5.93370246887207
elder_bear,5.860450267791748
dist_bull_ob,5.849436283111572
supertrend_dist,5.844040393829346
ppo_signal,5.790083408355713
stoch_d,5.780195713043213
atr_pct,5.776822566986084
lower_low_count_20,5.772080421447754
mfi_14,5.770269870758057
fib_dist_618,5.769490718841553
fib_range_pct,5.763474941253662
atr_percentile,5.758735656738281
btc_dist_ema200,5.735708713531494
dist_avwap_200,5.70747709274292
rel_perf_24h,5.702101707458496
dist_avwap_50,5.6853346824646
fib_dist_500,5.6767401695251465
range_position_score,5.654062271118164
higher_high_count_20,5.643213272094727
rsi_7,5.608686923980713
price_disp_atr_pct,5.585508346557617
macd_hist,5.542039394378662
vol_confirm_ratio,5.526827335357666
rsi_acceleration_14,5.439685821533203
volatility_regime,5.43446683883667
