feature,gain
macro_confluence_score,74.68930053710938
prc_total,30.138416290283203
prc_momentum,18.865446090698242
efficiency_ratio_10,14.165582656860352
prc_bands,8.087113380432129
volume_delta_12,5.889159202575684
dow_cos,5.718481540679932
dist_kama,5.222268581390381
dow_sin,5.04392147064209
macd_hist,4.9567060470581055
btc_dist_ema200,4.738652229309082
dist_ema_9,4.702498912811279
rel_perf_24h,4.681565284729004
btc_corr_24h,4.676117420196533
price_disp_atr_pct,4.56452751159668
hour_sin,4.550858497619629
prc_smart_money,4.484313488006592
prc_volume,4.460239410400391
ultimate_osc,4.419909954071045
funding_rate_zscore,4.401662349700928
prc_trend,4.369472980499268
atr_band_position,4.364862442016602
hour_cos,4.349024295806885
funding_slope_8,4.32013463973999
dist_s2,4.303377628326416
volume_zscore,4.185104846954346
hurst,4.127978324890137
kst_signal,4.126485824584961
parkinson_vol,4.12164831161499
pvt,4.090039253234863
funding_cum_8,4.081846237182617
macd_signal,4.074481964111328
williams_r,4.06776237487793
mfi_14,4.061769485473633
volatility_ratio,4.042507648468018
quantile_position,4.032080173492432
atr_percentile,4.018960475921631
price_zscore_200,4.018594264984131
bb_width_percentile,4.001810550689697
kst,3.9827699661254883
dist_r2,3.9791877269744873
trend_consistency_20,3.9587368965148926
vol_confirm_ratio,3.946025848388672
dist_bear_ob,3.93239426612854
rsi_14,3.9020836353302
btc_ratio_ma_dist,3.8901519775390625
aroon_osc,3.873603582382202
adx_14,3.85862398147583
keltner_width,3.8528356552124023
rel_perf_4h,3.8477206230163574
