feature,gain
prc_total,114.34146881103516
macro_confluence_score,92.21886444091797
efficiency_ratio_10,33.8067741394043
prc_momentum,32.01033020019531
prc_trend,19.87998390197754
pct_dist_to_support,14.457939147949219
dist_bear_ob,13.716711044311523
atr_band_position,13.225349426269531
prc_bands,13.091812133789062
williams_r,10.936962127685547
price_disp_atr_pct,10.100902557373047
btc_ratio_ma_dist,10.082489013671875
macd_signal,10.067944526672363
supertrend_dist,10.028597831726074
dist_ema_100,9.812919616699219
fib_range_pct,9.780274391174316
cmf_20,9.71745777130127
dist_ema_200,9.705645561218262
fib_dist_236,9.56715202331543
hour_sin,9.54060173034668
btc_dist_ema200,9.423959732055664
fib_dist_618,9.344740867614746
volatility_regime,9.340431213378906
vol_confirm_ratio,9.247781753540039
ultimate_osc,9.235357284545898
ema_slope_100,9.228429794311523
dist_s2,9.141019821166992
volatility_skew,9.112680435180664
price_zscore_200,9.030580520629883
candle_pressure,9.005143165588379
dist_bull_ob,8.98849868774414
fib_dist_500,8.937767028808594
ema_stack_distance,8.921855926513672
hurst,8.899559020996094
funding_rate_zscore,8.86487102508545
ichi_dist_kijun,8.820171356201172
dist_r2,8.752307891845703
dow_sin,8.658647537231445
ichi_dist_cloud_top,8.654380798339844
dist_kama,8.652313232421875
volume_delta_14,8.62894344329834
kst_signal,8.534645080566406
relative_volume,8.531408309936523
rel_perf_4h,8.440773963928223
rvi_vol,8.382174491882324
dist_avwap_200,8.302635192871094
pvt,8.234785079956055
sqz_momentum,8.210469245910645
keltner_width,8.010093688964844
dist_s1,8.000513076782227
